node_id,node_type,name
E_424dbe533d,Entity,ability
E_cc6afe156e,Entity,abstractive summarization
E_e268443e43,Entity,account
E_8297a3cc29,Entity,accuracies
E_d324a48516,Entity,activation function
E_a0f35e86dd,Entity,adagrad
E_434bac5ae0,Entity,adam optimizer
E_7278ff6867,Entity,adaptation
E_2290dc931c,Entity,advantage
E_8002477499,Entity,adversarial training
E_ed46961889,Entity,algorithm
E_5a159214b1,Entity,alignment
E_c6eb4749b4,Entity,alignments
E_22fa872bed,Entity,all cases
E_13446fec04,Entity,all datasets
E_73fe5b24fe,Entity,all domains
E_bd21408a63,Entity,all evaluation metrics
E_6cebaac34c,Entity,all experiments
E_7bd78871e8,Entity,all features
E_8eddb8fb23,Entity,all language pairs
E_e698a1a040,Entity,all languages
E_7b046d3541,Entity,all layers
E_a9f8a82b19,Entity,all methods
E_3711252c35,Entity,all metrics
E_69a9c97921,Entity,all models
E_076af42e96,Entity,all other models
E_b4f3ea4120,Entity,all settings
E_bca339e830,Entity,all test sets
E_a9a07bad99,Entity,all the baselines
E_f672dd39f1,Entity,all the datasets
E_4a2906b098,Entity,all the metrics
E_87edff8b80,Entity,all the models
E_2ff744558a,Entity,all three datasets
E_a363b8d135,Entity,answer
E_78949a7517,Entity,answers
E_eaf0e0df2f,Entity,approaches
E_efe79c3211,Entity,architecture
E_ab256241aa,Entity,as well
E_e67e20d1ed,Entity,aspect
E_9074d4992d,Entity,aspects
E_4e099738fb,Entity,attention mechanism
E_2d33a13c3f,Entity,attention model
E_f6bd033cfc,Entity,attention weights
E_b84d43d958,Entity,auxiliary task
E_e4894ca167,Entity,available
E_6927a3a721,Entity,average
E_18a0f2765b,Entity,average improvement
E_4fe0641279,Entity,back - translation
E_0e3b5b99e3,Entity,backtranslation
E_358dbc9e59,Entity,base model
E_e5ef2a445e,Entity,base models
E_491c7f709a,Entity,baseline methods
E_6b6cc496bc,Entity,baseline model
E_1becaec954,Entity,baseline models
E_314f521658,Entity,baseline system
E_f2af3d23e0,Entity,baseline systems
E_b794c3472c,Entity,batch size
E_67cf2504d5,Entity,batch sizes
E_f8c77c3bee,Entity,batches
E_d79eb34312,Entity,beam search
E_c8d696e648,Entity,beam size
E_b7922e3b59,Entity,beam width
E_79da17fa16,Entity,benefits
E_972c074bf4,Entity,bert - base
E_5a35fa9e8c,Entity,bert model
E_eecde10b08,Entity,best accuracy
E_bfb9b9a657,Entity,best baseline
E_82949c20cd,Entity,best model
E_170df48525,Entity,best overall performance
E_83826e31e6,Entity,best result
E_1e22a0fc4a,Entity,best results
E_27fa8345c4,Entity,best score
E_a8ffd7d52a,Entity,best scores
E_2ea704fac2,Entity,best system
E_7098932259,Entity,better performances
E_428290d22b,Entity,better results
E_cbaf340c35,Entity,bi-lstm
