topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Sum2022_2025,W4388522045,0,auto,SRplot,:,A free online,SRplot : A free online,
Sum2022_2025,W4388522045,1,auto,Although,there,are many tools,Although there are many tools,
Sum2022_2025,W4388522045,2,auto,Here,",",we presented a,"Here , we presented a",
Sum2022_2025,W4388522045,3,auto,It,can,be run easily,It can be run easily,
Sum2022_2025,W4388522045,4,auto,With,a,user - friendly,With a user - friendly,
Sum2022_2025,W4388522045,5,auto,Modification,operations,can be easily,Modification operations can be easily,
Sum2022_2025,W4388522045,6,auto,The,resulting,graphs can be,The resulting graphs can be,
Sum2022_2025,W4388522045,7,auto,The,website,is updated promptly,The website is updated promptly,
Sum2022_2025,W4388522045,8,auto,Functions,in,SRplot have been,Functions in SRplot have been,
Sum2022_2025,W4388522045,9,auto,The,graphs,prepared with SRplot,The graphs prepared with SRplot,
Sum2022_2025,W4388522045,10,auto,The,SRplot,web server is,The SRplot web server is,
Sum2022_2025,W4388522045,11,auto,com.cn,/,SRplot .,com.cn / SRplot .,
Sum2022_2025,W4388522045,12,auto,Introduction,Data,visualization and presentation,Introduction Data visualization and presentation,
Sum2022_2025,W4388522045,13,auto,A,number,of packages and,A number of packages and,
Sum2022_2025,W4388522045,14,auto,Many,of,these tools are,Many of these tools are,
Sum2022_2025,W4388522045,15,auto,Here,",",we present SRplot,"Here , we present SRplot",
Sum2022_2025,W4388522045,16,auto,Through,its,intuitive graphical user,Through its intuitive graphical user,
Sum2022_2025,W4388522045,17,auto,The,following,are the features,The following are the features,
Sum2022_2025,W4388522045,18,auto,Although,most,of these functions,Although most of these functions,
Sum2022_2025,W4388522045,19,auto,In,addition,", SRplot contains","In addition , SRplot contains",
Sum2022_2025,W4388522045,20,auto,Competing,interests,: The authors,Competing interests : The authors,
Sum2022_2025,W4388522045,21,auto,Results,Main,functions SRplot is,Results Main functions SRplot is,
Sum2022_2025,W4388522045,22,auto,This,tool,supports a wide,This tool supports a wide,
Sum2022_2025,W4388522045,23,auto,As,a,new and comprehensive,As a new and comprehensive,
Sum2022_2025,W4388522045,24,auto,2,",",This tool has,"2 , This tool has",
Sum2022_2025,W4388522045,25,auto,3,",",It is developed,"3 , It is developed",
Sum2022_2025,W4388522045,26,auto,A,wide,variety of plots,A wide variety of plots,
Sum2022_2025,W4388522045,27,auto,4,",",It is an,"4 , It is an",
Sum2022_2025,W4388522045,28,auto,The,most,computationally intensive plotting,The most computationally intensive plotting,
Sum2022_2025,W4388522045,29,auto,With,our,powerful server machine,With our powerful server machine,
Sum2022_2025,W4388522045,30,auto,5,",",It is easy,"5 , It is easy",
Sum2022_2025,W4388522045,31,auto,6,",",The resulting graphs,"6 , The resulting graphs",
Sum2022_2025,W4388522045,32,auto,7,",",Some commonly used,"7 , Some commonly used",
Sum2022_2025,W4388522045,33,auto,Functions,in,SRplot have been,Functions in SRplot have been,
Sum2022_2025,W4388522045,34,auto,We,have,provided the input,We have provided the input,
Sum2022_2025,W4388522045,35,auto,Such,input,data files could,Such input data files could,
Sum2022_2025,W4388522045,36,auto,Then,the,user should copy,Then the user should copy,
Sum2022_2025,W4388522045,37,auto,Standard,formatting,"options , such","Standard formatting options , such",
Sum2022_2025,W4388522045,38,auto,Default,settings,for each item,Default settings for each item,
Sum2022_2025,W4388522045,39,auto,A,number,of options are,A number of options are,
Sum2022_2025,W4388522045,40,auto,With,a,single click of,With a single click of,
Sum2022_2025,W4388522045,41,auto,If,any,further changes to,If any further changes to,
Sum2022_2025,W4388522045,42,auto,Meanwhile,",",data protection and,"Meanwhile , data protection and",
Sum2022_2025,W4388522045,43,auto,Output,Tasks,are performed on,Output Tasks are performed on,
Sum2022_2025,W4388522045,44,auto,If,changing,some of the,If changing some of the,
Sum2022_2025,W4388522045,45,auto,When,a,satisfactory version is,When a satisfactory version is,
Sum2022_2025,W4388522045,46,auto,All,the,graphs can be,All the graphs can be,
Sum2022_2025,W4388522045,47,auto,Discussion,Data,visualization and graphing,Discussion Data visualization and graphing,
Sum2022_2025,W4388522045,48,auto,Some,tools,for this aim,Some tools for this aim,
Sum2022_2025,W4388522045,49,auto,A,series,of stellar functions,A series of stellar functions,
Sum2022_2025,W4388522045,50,auto,The,graphs,prepared with SRplot,The graphs prepared with SRplot,
Sum2022_2025,W4388522045,51,auto,Limitation,First,", currently SRplot","Limitation First , currently SRplot",
Sum2022_2025,W4388522045,52,auto,This,is,mainly due to,This is mainly due to,
Sum2022_2025,W4388522045,53,auto,Second,",",to make better,"Second , to make better",
Sum2022_2025,W4388522045,54,auto,Third,",",SRplot is not,"Third , SRplot is not",
Sum2022_2025,W4388522045,55,auto,Future,developments,"Certainly , the","Future developments Certainly , the",
Sum2022_2025,W4388522045,56,auto,In,the,"future , our","In the future , our",
Sum2022_2025,W4388522045,57,auto,Users,can,consult the SRplot,Users can consult the SRplot,
Sum2022_2025,W4388522045,58,auto,Fig,1,. 1 Fig,Fig 1 . 1 Fig,
Sum2022_2025,W4388522045,59,auto,Workflow,of,SRplot .,Workflow of SRplot .,
Sum2022_2025,W4388522045,60,auto,https://doi.org/10.1371/journal.pone.0294236.g001,Fig,2 . 2,https://doi.org/10.1371/journal.pone.0294236.g001 Fig 2 . 2,
Sum2022_2025,W4388522045,61,auto,Outline,of,functions in SRplot,Outline of functions in SRplot,
Sum2022_2025,W4388522045,62,auto,https://doi.org/10.1371/journal.pone.0294236.g002,Fig,3 . 3,https://doi.org/10.1371/journal.pone.0294236.g002 Fig 3 . 3,
Sum2022_2025,W4388522045,63,auto,Examples,of,the most commonly,Examples of the most commonly,
Sum2022_2025,W4388522045,64,auto,(,A,) Cluster heatmap,( A ) Cluster heatmap,
Sum2022_2025,W4388522045,66,auto,Table,1,. Comparison among,Table 1 . Comparison among,
Sum2022_2025,W4388522045,67,auto,1,Platforms,/ software SRplot,1 Platforms / software SRplot,
Sum2022_2025,W4388522045,68,auto,No,No,No No Frequency,No No No No Frequency,
Sum2022_2025,W4388522045,69,auto,https://doi.org/10.1371/journal.pone.0294236.t001,PLOS,ONE | https://doi.org/10.1371/journal.pone.0294236,https://doi.org/10.1371/journal.pone.0294236.t001 PLOS ONE | https://doi.org/10.1371/journal.pone.0294236,
Sum2022_2025,W4388522045,70,auto,We,would,like to thank,We would like to thank,
Sum2022_2025,W4388522045,71,auto,The,data,underlying the results,The data underlying the results,
Sum2022_2025,W4388522045,72,auto,The,SRplot,is a useful,The SRplot is a useful,
Sum2022_2025,W4388522045,73,auto,Our,website,provides example data,Our website provides example data,
Sum2022_2025,W4388522045,74,auto,The,example,data may be,The example data may be,
Sum2022_2025,W4388522045,75,auto,Also,",",the example data,"Also , the example data",
Sum2022_2025,W4388522045,76,auto,Author,Contributions,Conceptualization : Doudou,Author Contributions Conceptualization : Doudou,
Sum2022_2025,W4388522045,77,auto,Heatmapper,:,web - enabled,Heatmapper : web - enabled,
Sum2022_2025,W4388522045,78,auto,Improving,the,usability and archival,Improving the usability and archival,
Sum2022_2025,W4388522045,79,auto,Gene,ontology,: tool for,Gene ontology : tool for,
Sum2022_2025,W4388522045,80,auto,The,Gene,Ontology Consortium M,The Gene Ontology Consortium M,
Sum2022_2025,W4388522045,81,auto,Identification,of,antimicrobial peptides from,Identification of antimicrobial peptides from,
Sum2022_2025,W4388522045,82,auto,Circulating,proteomic,panels for risk,Circulating proteomic panels for risk,
Sum2022_2025,W4388522045,83,auto,Restoration,of,Autophagic Flux Improves,Restoration of Autophagic Flux Improves,
Sum2022_2025,W4389519254,0,auto,G,-,EVAL : NLG,G - EVAL : NLG,
Sum2022_2025,W4389519254,1,auto,The,quality,of texts generated,The quality of texts generated,
Sum2022_2025,W4389519254,2,auto,Conventional,referencebased,"metrics , such","Conventional referencebased metrics , such",
Sum2022_2025,W4389519254,3,auto,Recent,studies,suggest using large,Recent studies suggest using large,
Sum2022_2025,W4389519254,4,auto,However,",",these LLM -,"However , these LLM -",
Sum2022_2025,W4389519254,5,auto,In,this,"work , we","In this work , we",
Sum2022_2025,W4389519254,6,auto,We,experiment,with two generation,We experiment with two generation,
Sum2022_2025,W4389519254,7,auto,We,show,that G -,We show that G -,
Sum2022_2025,W4389519254,8,auto,We,also,propose analysis on,We also propose analysis on,
Sum2022_2025,W4389519254,9,auto,1,Introduction,Evaluating the quality,1 Introduction Evaluating the quality,
Sum2022_2025,W4389519254,10,auto,Moreover,",",these metrics require,"Moreover , these metrics require",
Sum2022_2025,W4389519254,11,auto,Recent,studies,propose directly using,Recent studies propose directly using,
Sum2022_2025,W4389519254,12,auto,2,.,We propose to,2 . We propose to,
Sum2022_2025,W4389519254,13,auto,3,.,We propose to,3 . We propose to,
Sum2022_2025,W4389519254,14,auto,4,.,We conduct an,4 . We conduct an,
Sum2022_2025,W4389519254,15,auto,Method,G-EVAL,is a prompt,Method G-EVAL is a prompt,
Sum2022_2025,W4389519254,16,auto,Prompt,for,NLG Evaluation,Prompt for NLG Evaluation,
Sum2022_2025,W4389519254,17,auto,The,prompt,is a natural,The prompt is a natural,
Sum2022_2025,W4389519254,18,auto,For,example,", for text","For example , for text",
Sum2022_2025,W4389519254,19,auto,Your,task,is to rate,Your task is to rate,
Sum2022_2025,W4389519254,20,auto,Please,make,sure you read,Please make sure you read,
Sum2022_2025,W4389519254,21,auto,Please,keep,this document open,Please keep this document open,
Sum2022_2025,W4389519254,22,auto,The,prompt,should also contain,The prompt should also contain,
Sum2022_2025,W4389519254,23,auto,For,example,", for evaluating","For example , for evaluating",
Sum2022_2025,W4389519254,24,auto,We,align,this dimension with,We align this dimension with,
Sum2022_2025,W4389519254,25,auto,The,summary,should not just,The summary should not just,
Sum2022_2025,W4389519254,26,auto,Auto,Chain,- of -,Auto Chain - of -,
Sum2022_2025,W4389519254,27,auto,The,chain,- of -,The chain - of -,
Sum2022_2025,W4389519254,28,auto,For,evaluation,"tasks , some","For evaluation tasks , some",
Sum2022_2025,W4389519254,29,auto,We,find,that LLM can,We find that LLM can,
Sum2022_2025,W4389519254,30,auto,The,CoT,can provide more,The CoT can provide more,
Sum2022_2025,W4389519254,31,auto,For,example,", for evaluating","For example , for evaluating",
Sum2022_2025,W4389519254,32,auto,1,.,Read the news,1 . Read the news,
Sum2022_2025,W4389519254,33,auto,2,.,Read the summary,2 . Read the summary,
Sum2022_2025,W4389519254,34,auto,Check,if,the summary covers,Check if the summary covers,
Sum2022_2025,W4389519254,35,auto,3,.,Assign a score,3 . Assign a score,
Sum2022_2025,W4389519254,37,auto,The,scoring,function calls the,The scoring function calls the,
Sum2022_2025,W4389519254,38,auto,Unlike,GPTScore,( Fu et,Unlike GPTScore ( Fu et,
Sum2022_2025,W4389519254,39,auto,This,leads,to many ties,This leads to many ties,
Sum2022_2025,W4389519254,40,auto,To,address,"these issues ,","To address these issues ,",
Sum2022_2025,W4389519254,41,auto,Formally,",",given a set,"Formally , given a set",
Sum2022_2025,W4389519254,42,auto,This,method,obtains more fine,This method obtains more fine,
Sum2022_2025,W4389519254,43,auto,Experiments,Following,Zhong et al.,Experiments Following Zhong et al.,
Sum2022_2025,W4389519254,44,auto,We,use,OpenAI's GPT family,We use OpenAI's GPT family,
Sum2022_2025,W4389519254,45,auto,For,GPT,"- 3.5 ,","For GPT - 3.5 ,",
Sum2022_2025,W4389519254,46,auto,For,1,does not support,For 1 does not support,
Sum2022_2025,W4389519254,47,auto,We,use,G - EVAL,We use G - EVAL,
Sum2022_2025,W4389519254,48,auto,Example,prompts,for each task,Example prompts for each task,
Sum2022_2025,W4389519254,50,auto,We,adopt,three meta -,We adopt three meta -,
Sum2022_2025,W4389519254,51,auto,SummEval,(,Fabbri et al.,SummEval ( Fabbri et al.,
Sum2022_2025,W4389519254,52,auto,We,evaluate,G - EVAL,We evaluate G - EVAL,
Sum2022_2025,W4389519254,53,auto,BERTScore,(,Zhang et al.,BERTScore ( Zhang et al.,
Sum2022_2025,W4389519254,54,auto,We,adopt,the same approach,We adopt the same approach,
Sum2022_2025,W4389519254,55,auto,We,use,the Topical -,We use the Topical -,
Sum2022_2025,W4389519254,56,auto,Notably,",",the G -,"Notably , the G -",
Sum2022_2025,W4389519254,57,auto,This,indicates,that this benchmark,This indicates that this benchmark,
Sum2022_2025,W4389519254,58,auto,Results,on,Hallucinations Advanced NLG,Results on Hallucinations Advanced NLG,
Sum2022_2025,W4389519254,59,auto,On,average,", G -","On average , G -",
Sum2022_2025,W4389519254,60,auto,G,-,EVAL - 3.5,G - EVAL - 3.5,
Sum2022_2025,W4389519254,61,auto,This,result,is consistent with,This result is consistent with,
Sum2022_2025,W4389519254,62,auto,One,concern,about using LLM,One concern about using LLM,
Sum2022_2025,W4389519254,63,auto,To,investigate,"this issue ,","To investigate this issue ,",
Sum2022_2025,W4389519254,64,auto,We,use,the dataset collected,We use the dataset collected,
Sum2022_2025,W4389519254,65,auto,We,use,G - EVAL,We use G - EVAL,
Sum2022_2025,W4389519254,66,auto,2,2,1 . NLG,2 2 1 . NLG,
Sum2022_2025,W4389519254,67,auto,The,authors,of the original,The authors of the original,
Sum2022_2025,W4389519254,68,auto,2,.,G - EVAL,2 . G - EVAL,
Sum2022_2025,W4389519254,69,auto,Our,work,should be considered,Our work should be considered,
Sum2022_2025,W4389519254,70,auto,We,highlight,this concern in,We highlight this concern in,
Sum2022_2025,W4389519254,71,auto,And,this,could result in,And this could result in,
