topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
SUM,W4384071683,0,auto,Large,language,models encode clinical,Large language models encode clinical,0.73607224,2023
SUM,W4384071683,1,auto,Heather,Cole,- Lewis Google,Heather Cole - Lewis Google,0.7965792,2023
SUM,W4384071683,2,auto,Large,language,models encode clinical,Large language models encode clinical,0.73607224,2023
SUM,W4384071683,3,auto,Attempts,to,assess the clinical,Attempts to assess the clinical,0.61114264,2023
SUM,W4384071683,4,auto,Here,",",to address these,"Here , to address these",0.6543883,2023
SUM,W4384071683,5,auto,We,propose,a human evaluation,We propose a human evaluation,0.64648163,2023
SUM,W4384071683,6,auto,In,addition,", we evaluate","In addition , we evaluate",0.59313905,2023
SUM,W4384071683,7,auto,Using,a,combination of prompting,Using a combination of prompting,0.64466554,2023
SUM,W4384071683,8,auto,assive,Multitask,Language Understanding (,assive Multitask Language Understanding (,0.7315862,2023
SUM,W4384071683,9,auto,However,",",human evaluation reveals,"However , human evaluation reveals",0.6063443,2023
SUM,W4384071683,10,auto,To,resolve,"this , we","To resolve this , we",0.6489463,2023
SUM,W4384071683,11,auto,The,resulting,"model , Med","The resulting model , Med",0.722427,2023
SUM,W4384071683,12,auto,We,show,"that comprehension ,","We show that comprehension ,",0.7111974,2023
SUM,W4384071683,13,auto,Our,human,evaluations reveal limitations,Our human evaluations reveal limitations,0.69290245,2023
SUM,W4384071683,14,auto,Medicine,is,a humane endeavour,Medicine is a humane endeavour,0.5349337,2023
SUM,W4384071683,15,auto,Yet,",",today's artificial intelligence,"Yet , today's artificial intelligence",0.6135543,2023
SUM,W4384071683,16,auto,These,models,", although useful","These models , although useful",0.6709717,2023
SUM,W4384071683,17,auto,Recent,advances,in LLMs offer,Recent advances in LLMs offer,0.77739006,2023
SUM,W4384071683,18,auto,LLMs,are,' foundation models,LLMs are ' foundation models,0.6363604,2023
SUM,W4384071683,19,auto,These,expressive,and interactive models,These expressive and interactive models,0.6964409,2023
SUM,W4384071683,20,auto,There,are,several exciting potential,There are several exciting potential,0.6422348,2023
SUM,W4384071683,21,auto,However,",",the safety -,"However , the safety -",0.64075947,2023
SUM,W4384071683,22,auto,This,is,especially important for,This is especially important for,0.6892256,2023
SUM,W4384071683,23,auto,They,may,", for instance","They may , for instance",0.5858539,2023
SUM,W4384071683,24,auto,To,evaluate,how well LLMs,To evaluate how well LLMs,0.67046094,2023
SUM,W4384071683,25,auto,This,task,is challenging :,This task is challenging :,0.70142156,2023
SUM,W4384071683,26,auto,Existing,medical,question - answering,Existing medical question - answering,0.7212853,2023
SUM,W4384071683,27,auto,ing,datasets,", including six","ing datasets , including six",0.56608015,2023
SUM,W4384071683,28,auto,To,resolve,"this , we","To resolve this , we",0.6489463,2023
SUM,W4384071683,29,auto,The,resulting,"model , Med","The resulting model , Med",0.722427,2023
SUM,W4384071683,30,auto,For,example,", a panel","For example , a panel",0.7186824,2023
SUM,W4384071683,31,auto,Similarly,",",29.7 % of,"Similarly , 29.7 % of",0.63162714,2023
SUM,W4384071683,32,auto,Although,these,results are promising,Although these results are promising,0.6475336,2023
SUM,W4384071683,33,auto,Further,evaluations,"are necessary ,","Further evaluations are necessary ,",0.6445048,2023
SUM,W4384071683,34,auto,Our,work,demonstrates that many,Our work demonstrates that many,0.6407698,2023
SUM,W4384071683,35,auto,We,outline,some key limitations,We outline some key limitations,0.70652735,2023
SUM,W4384071683,37,auto,Our,first,key contribution is,Our first key contribution is,0.6299349,2023
SUM,W4384071683,38,auto,We,introduce,"HealthSearchQA , a","We introduce HealthSearchQA , a",0.6419541,2023
SUM,W4384071683,39,auto,We,present,this dataset alongside,We present this dataset alongside,0.6321588,2023
SUM,W4384071683,40,auto,We,pilot,a framework for,We pilot a framework for,0.73193985,2023
SUM,W4384071683,41,auto,Our,evaluation,assesses answers for,Our evaluation assesses answers for,0.76653993,2023
SUM,W4384071683,42,auto,The,second,key contribution is,The second key contribution is,0.65280116,2023
SUM,W4384071683,43,auto,Specifically,",",we reach 67.6,"Specifically , we reach 67.6",0.6209397,2023
SUM,W4384071683,44,auto,The,next,contribution is the,The next contribution is the,0.6868027,2023
SUM,W4384071683,45,auto,We,leverage,this techniq,We leverage this techniq,0.7262689,2023
SUM,W4384071683,46,auto,ue,to,build Med -,ue to build Med -,0.75425035,2023
SUM,W4384071683,47,auto,It,is,caused by a,It is caused by a,0.7285283,2023
SUM,W4384071683,48,auto,Bilirubin,is,a byproduct of,Bilirubin is a byproduct of,0.5884681,2023
SUM,W4384071683,49,auto,Newborn,jaundice,is common and,Newborn jaundice is common and,0.6969142,2023
SUM,W4384071683,50,auto,The,jaundice,typically goes away,The jaundice typically goes away,0.6354287,2023
SUM,W4384071683,51,auto,In,some,"cases , it","In some cases , it",0.76386064,2023
SUM,W4384071683,52,auto,The,time,it takes for,The time it takes for,0.73193294,2023
SUM,W4384071683,53,auto,If,the,jaundice is severe,If the jaundice is severe,0.68159723,2023
SUM,W4384071683,54,auto,Article,version,of Flan -,Article version of Flan -,0.61923945,2023
SUM,W4384071683,55,auto,Although,our,results demonstrate the,Although our results demonstrate the,0.7075912,2023
SUM,W4384071683,56,auto,Model,development,and evaluation of,Model development and evaluation of,0.7691623,2023
SUM,W4384071683,57,auto,We,first,provide an overview,We first provide an overview,0.7315706,2023
SUM,W4384071683,58,auto,On,the,MedQA dataset consisting,On the MedQA dataset consisting,0.6513372,2023
SUM,W4384071683,59,auto,Concurrent,with,"our study ,","Concurrent with our study ,",0.6640961,2023
