topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
SA2022_2025,W4213436352,0,auto,Morbidity,and,Mortality Weekly Report,Morbidity and Mortality Weekly Report,0.55554944
SA2022_2025,W4213436352,1,auto,GROBID,-,A machine learning,GROBID - A machine learning,0.6053892
SA2022_2025,W4213436352,2,auto,Previous,research,has documented that,Previous research has documented that,0.6492666
SA2022_2025,W4213436352,3,auto,Public,health,surveillance of children's,Public health surveillance of children's,0.6790522
SA2022_2025,W4213436352,4,auto,Numerous,federal,data systems collect,Numerous federal data systems collect,0.67554224
SA2022_2025,W4213436352,5,auto,The,2013,- 2019 data,The 2013 - 2019 data,0.68210685
SA2022_2025,W4213436352,6,auto,During,this,"period , the","During this period , the",0.57899314
SA2022_2025,W4213436352,7,auto,Among,children,and adolescents aged,Among children and adolescents aged,0.712636
SA2022_2025,W4213436352,8,auto,Among,high,school students in,Among high school students in,0.60762537
SA2022_2025,W4213436352,9,auto,Approximately,seven,"in 100,000 persons","Approximately seven in 100,000 persons",0.66404706
SA2022_2025,W4213436352,10,auto,Among,children,and adolescents aged,Among children and adolescents aged,0.712636
SA2022_2025,W4213436352,11,auto,Approximately,one,in four children,Approximately one in four children,0.69810426
SA2022_2025,W4213436352,12,auto,In,federal,"data systems ,","In federal data systems ,",0.51194847
SA2022_2025,W4213436352,13,auto,Although,no,comprehensive surveillance system,Although no comprehensive surveillance system,0.66507924
SA2022_2025,W4213436352,14,auto,These,findings,can be used,These findings can be used,0.55400556
SA2022_2025,W4213436352,15,auto,Introduction,Mental,health is a,Introduction Mental health is a,0.67914844
SA2022_2025,W4213436352,16,auto,Mental,health,", like physical","Mental health , like physical",0.7606998
SA2022_2025,W4213436352,17,auto,In,addition,to increased attention,In addition to increased attention,0.6725613
SA2022_2025,W4213436352,18,auto,The,ADDM,Network is an,The ADDM Network is an,0.7032168
SA2022_2025,W4213436352,19,auto,The,ADDM,Network has reported,The ADDM Network has reported,0.69702333
SA2022_2025,W4213436352,20,auto,The,most,recent data at,The most recent data at,0.73877656
SA2022_2025,W4213436352,21,auto,Surveillance,is,conducted in two,Surveillance is conducted in two,0.60768306
SA2022_2025,W4213436352,22,auto,The,first,phase involves review,The first phase involves review,0.73076695
SA2022_2025,W4213436352,23,auto,In,the,"second phase ,","In the second phase ,",0.78370696
SA2022_2025,W4213436352,24,auto,The,case,definition is based,The case definition is based,0.6380353
SA2022_2025,W4213436352,25,auto,Although,The,results presented in,Although The results presented in,0.742417
SA2022_2025,W4213436352,26,auto,Among,"275,409",children aged 8,"Among 275,409 children aged 8",0.64231694
SA2022_2025,W4213436352,27,auto,For,other,mental health indicators,For other mental health indicators,0.64081275
SA2022_2025,W4213436352,28,auto,National,Health,and Nutrition Examination,National Health and Nutrition Examination,0.47714853
SA2022_2025,W4213436352,29,auto,NHANES,uses,a multistage probability,NHANES uses a multistage probability,0.5795705
SA2022_2025,W4213436352,30,auto,Since,2011,", NHANES has","Since 2011 , NHANES has",0.65360606
SA2022_2025,W4213436352,31,auto,Data,are,collected through examination,Data are collected through examination,0.57654095
SA2022_2025,W4213436352,32,auto,Health,indicators,have included cardiovascular,Health indicators have included cardiovascular,0.6356816
SA2022_2025,W4213436352,33,auto,Since,the,2005 - 2006,Since the 2005 - 2006,0.7126481
SA2022_2025,W4213436352,34,auto,NHIS,is,an in -,NHIS is an in -,0.8035503
SA2022_2025,W4213436352,35,auto,For,interviews,completed during 1997,For interviews completed during 1997,0.7263554
SA2022_2025,W4213436352,36,auto,From,each,family in the,From each family in the,0.73433536
SA2022_2025,W4213436352,37,auto,A,parent,answered questions for,A parent answered questions for,0.7500954
SA2022_2025,W4213436352,38,auto,NHIS,data,are publicly available,NHIS data are publicly available,0.6715082
SA2022_2025,W4213436352,39,auto,Data,included,in this report,Data included in this report,0.6967906
SA2022_2025,W4213436352,40,auto,The,total,household response rate,The total household response rate,0.6571324
SA2022_2025,W4213436352,41,auto,NHIS,has,included questions on,NHIS has included questions on,0.6061965
SA2022_2025,W4213436352,42,auto,For,ADHD,", parents were","For ADHD , parents were",0.6594397
SA2022_2025,W4213436352,43,auto,Since,2014,", the ASD","Since 2014 , the ASD",0.59590197
SA2022_2025,W4213436352,44,auto,Beginning,in,"2016 , follow","Beginning in 2016 , follow",0.5924038
SA2022_2025,W4213436352,45,auto,To,assess,use of mental,To assess use of mental,0.7467324
SA2022_2025,W4213436352,46,auto,A,mental,health professional such,A mental health professional such,0.68666255
SA2022_2025,W4213436352,47,auto,In,addition,", for those","In addition , for those",0.5904935
SA2022_2025,W4213436352,48,auto,The,denominator,included all children,The denominator included all children,0.70359725
SA2022_2025,W4213436352,49,auto,National,Survey,of Children's Health,National Survey of Children's Health,0.6887663
SA2022_2025,W4213436352,50,auto,NSCH,is,funded and directed,NSCH is funded and directed,0.5753921
SA2022_2025,W4213436352,51,auto,Data,are,collected from a,Data are collected from a,0.6551163
SA2022_2025,W4213436352,52,auto,Data,provide,both national and,Data provide both national and,0.59287405
SA2022_2025,W4213436352,53,auto,The,data,are subject to,The data are subject to,0.5921441
SA2022_2025,W4213436352,54,auto,Additional,general,information is available,Additional general information is available,0.5522377
SA2022_2025,W4213436352,55,auto,NSCH,was,redesigned for 2016,NSCH was redesigned for 2016,0.61023843
SA2022_2025,W4213436352,56,auto,Conducted,by,the federal government,Conducted by the federal government,0.5846773
SA2022_2025,W4213436352,57,auto,For,the,"years analyzed ,","For the years analyzed ,",0.7137721
SA2022_2025,W4213436352,58,auto,NSDUH,collects,data using audio,NSDUH collects data using audio,0.6202276
SA2022_2025,W4213436352,59,auto,NSDUH,is,a state and,NSDUH is a state and,0.704067
SA2022_2025,W4213436352,60,auto,Adolescents,and,young adults are,Adolescents and young adults are,0.5443855
SA2022_2025,W4213436352,61,auto,Additional,general,information about NSDUH,Additional general information about NSDUH,0.6638276
