paper_id,title,domain,year,split,semantic_knn,predicted_novel
SKG_MT_1151,Better Filtration and Augmentation for Hierarchical Phrase-Based Translation Rules,MT,2010,SKG,1.0,1
SKG_SUM_67,Multi-Document Summarization Using A Search and Discriminative Learning,SUM,2010,SKG,1.0,1
SKG_MT_287,Fast Consensus Hypothesis Regeneration for Machine Translation,MT,2010,SKG,1.0,1
SKG_SUM_83,Optimizing Informativeness and Readability for Sentiment Summarization,SUM,2010,SKG,1.0,1
SKG_SUM_42,A Risk Minimization Framework for Extractive Speech Summarization,SUM,2010,SKG,1.0,1
SKG_MT_1074,Accurate Non-Hierarchical Phrase-Based Translation,MT,2010,SKG,1.0,1
SKG_PAR_202,Utilizing Extra-Sentential Context for Parsing,PAR,2010,SKG,1.0,1
SKG_MT_390,Tackling Sparse Data Issue in Machine Translation Evaluation,MT,2010,SKG,1.0,1
SKG_MT_488,Incremental Decoding for Phrase-Based Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_157,Maximum Entropy Based Phrase Reordering for Hierarchical Phrase-Based Translation,MT,2010,SKG,1.0,1
SKG_SUM_7,Using Confusion Networks for Speech Summarization,SUM,2010,SKG,1.0,1
SKG_MT_194,The RWTH Aachen Machine Translation System for WMT 2012,MT,2010,SKG,1.0,1
SKG_MT_478,A Joint Rule Selection Model for Hierarchical Phrase-Based Translation,MT,2010,SKG,1.0,1
SKG_MT_1199,Statistical Machine Translation with a Factorized Grammar,MT,2010,SKG,1.0,1
SKG_MT_196,Extending the METEOR Machine Translation Evaluation Metric to the Phrase Level,MT,2010,SKG,1.0,1
SKG_PAR_219,A Unified Framework for Scope Learning via Simplified Shallow Semantic Parsing,PAR,2010,SKG,1.0,1
SKG_MT_174,Balancing User Effort and Translation Error in Interactive Machine Translation via Confidence Measures,MT,2010,SKG,1.0,1
SKG_QA_101,"Tree Edit Models for Recognizing Textual Entailments, Paraphrases, and Answers to Questions",QA,2010,SKG,1.0,1
SKG_MT_1231,Applying Morphological Decompositions to Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_15,Fixed Length Word Suffix for Factored Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_17,Hindi to Punjabi Machine Translation System,MT,2010,SKG,1.0,1
SKG_MT_1232,Discriminative Sample Selection for Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_603,Unsupervised Search for the Optimal Segmentation for Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_567,Efficient Path Counting Transducers for Minimum Bayes-Risk Decoding of Statistical Machine Translation Lattices,MT,2010,SKG,1.0,1
SKG_MT_61,Hierarchical Phrase-Based Translation Grammars Extracted from Alignment Posterior Probabilities,MT,2010,SKG,1.0,1
SKG_SA_544,Holistic Sentiment Analysis Across Languages Multilingual Supervised Latent Dirichlet Allocation,SA,2010,SKG,1.0,1
SKG_MT_968,LIUM SMT Machine Translation System for WMT 2010,MT,2010,SKG,1.0,1
SKG_MT_547,"Jane Open Source Hierarchical Translation, Extended with Reordering and Lexicon Models",MT,2010,SKG,1.0,1
SKG_PAR_87,Improved Fully Unsupervised Parsing with Zoomed Learning,PAR,2010,SKG,1.0,1
SKG_DIA_104,Importance-Driven Turn-Bidding for Spoken Dialogue Systems,DIA,2010,SKG,1.0,1
SKG_PAR_69,Uptraining for Accurate Deterministic Question Parsing,PAR,2010,SKG,1.0,1
SKG_MT_137,Task-based Evaluation of Multiword Expressions a Pilot Study in Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_606,Decision Trees for Lexical Smoothing in Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_SA_527,A Comparative Study of Bayesian Models for Unsupervised Sentiment Detection,SA,2010,SKG,1.0,1
SKG_MT_585,Vs and OOVs Two Problems for Translation between German and English,MT,2010,SKG,1.0,1
SKG_MT_646,To Cache or Not To Cache Experiments with Adaptive Models in Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_QA_416,Optimizing Question Answering Accuracy by Maximizing Log-Likelihood,QA,2010,SKG,1.0,1
SKG_MT_660,Maximum Entropy Translation Model in Dependency-Based MT Framework,MT,2010,SKG,1.0,1
SKG_MT_388,Soft Syntactic Constraints for Hierarchical Phrase-Based Translation Using Latent Syntactic Distributions,MT,2010,SKG,1.0,1
SKG_MT_1313,Integration of Multiple Bilingually-Learned Segmentation Schemes into Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_SA_83,CityU-DAC Disambiguating Sentiment-Ambiguous Adjectives within Context,SA,2010,SKG,1.0,1
SKG_MT_795,Divide and Translate Improving Long Distance Reordering in Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_1384,Facilitating Translation Using Source Language Paraphrase Lattices,MT,2010,SKG,1.0,1
SKG_MT_1167,LIUM SMT Machine Translation System for WMT 2010,MT,2010,SKG,1.0,1
SKG_MT_853,UBA Using Automatic Translation and Wikipedia for Cross-Lingual Lexical Substitution,MT,2010,SKG,1.0,1
SKG_MT_838,Cross Language Text Classification by Model Translation and Semi-Supervised Learning,MT,2010,SKG,1.0,1
SKG_MT_850,Stream-based Translation Models for Statistical Machine Translation,MT,2010,SKG,1.0,1
SKG_MT_1325,Model Combination for Machine Translation,MT,2010,SKG,1.0,1
SKG_SA_217,Optimizing Informativeness and Readability for Sentiment Summarization,SA,2010,SKG,1.0,1
SKG_MT_1320,Evaluating Machine Translations Using mNCD,MT,2010,SKG,1.0,1
SKG_SA_420,Automatically Generating Annotator Rationales to Improve Sentiment Classification,SA,2010,SKG,1.0,1
SKG_MT_1375,LIUM SMT Machine Translation System for WMT 2010,MT,2010,SKG,1.0,1
SKG_MT_1394,Evaluating Machine Translations Using mNCD,MT,2010,SKG,1.0,1
