topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
Sum,W2136893259,0,auto,Research,Methods,: Quantitative and,Research Methods : Quantitative and,,2023
Sum,W2136893259,1,auto,It,is,common that someone,It is common that someone,,2023
Sum,W2136893259,2,auto,Such,questions,include issues related,Such questions include issues related,,2023
Sum,W2136893259,3,auto,After,experiencing,such an eye,After experiencing such an eye,,2023
Sum,W2136893259,4,auto,From,there,"onwards , different","From there onwards , different",,2023
Sum,W2136893259,5,auto,The,research,design typically includes,The research design typically includes,,2023
Sum,W2136893259,6,auto,In,a,large number of,In a large number of,,2023
Sum,W2136893259,7,auto,Such,data,collection tools include,Such data collection tools include,,2023
Sum,W2136893259,8,auto,The,rules,and norms of,The rules and norms of,,2023
Sum,W2136893259,9,auto,We,will,limit our discussions,We will limit our discussions,,2023
Sum,W2136893259,10,auto,As,we,"said before ,","As we said before ,",,2023
Sum,W2136893259,11,auto,There,are,", of course","There are , of course",,2023
Sum,W2136893259,12,auto,Studies,also,include multimodal aspects,Studies also include multimodal aspects,,2023
Sum,W2136893259,13,auto,h,methods,is often made,h methods is often made,,2023
Sum,W2136893259,14,auto,The,two,approaches can be,The two approaches can be,,2023
Sum,W2136893259,15,auto,On,the,"one hand ,","On the one hand ,",,2023
Sum,W2136893259,16,auto,Generalization,and,replication are seen,Generalization and replication are seen,,2023
Sum,W2136893259,17,auto,On,the,"other hand ,","On the other hand ,",,2023
Sum,W2136893259,18,auto,Formulated,in,"this way ,","Formulated in this way ,",,2023
Sum,W2136893259,19,auto,In,our,"opinion , both","In our opinion , both",,2023
Sum,W2136893259,20,auto,In,a,"quantitative investigation ,","In a quantitative investigation ,",,2023
Sum,W2136893259,21,auto,A,sample,can vary according,A sample can vary according,,2023
Sum,W2136893259,22,auto,The,analysis,typically focuses on,The analysis typically focuses on,,2023
Sum,W2136893259,23,auto,Alternatively,",",researchers can investigate,"Alternatively , researchers can investigate",,2023
Sum,W2136893259,24,auto,In,this,type of project,In this type of project,,2023
Sum,W2136893259,25,auto,However,",",presenting quantitative distributions,"However , presenting quantitative distributions",,2023
Sum,W2136893259,26,auto,A,detailed,analysis of a,A detailed analysis of a,,2023
Sum,W2136893259,27,auto,In,contrast,", a qualitative","In contrast , a qualitative",,2023
Sum,W2136893259,28,auto,Qualitative,studies,often try to,Qualitative studies often try to,,2023
Sum,W2136893259,29,auto,The,methodology,can include (,The methodology can include (,,2023
Sum,W2136893259,30,auto,The,conclusions,are often more,The conclusions are often more,,2023
Sum,W2136893259,31,auto,Of,course,", a qualitative","Of course , a qualitative",,2023
Sum,W2136893259,32,auto,Both,quantitative,and qualitative,Both quantitative and qualitative,,2023
Sum,W2136893259,33,auto,approaches,have,proved fruitful in,approaches have proved fruitful in,,2023
Sum,W2136893259,34,auto,Some,researchers,have chosen to,Some researchers have chosen to,,2023
Sum,W2136893259,35,auto,However,",",sometimes it is,"However , sometimes it is",,2023
Sum,W2136893259,36,auto,After,these,general introductory remarks,After these general introductory remarks,,2023
Sum,W2136893259,37,auto,Thereafter,",",we reflect on,"Thereafter , we reflect on",,2023
Sum,W2136893259,38,auto,Finally,",",we draw some,"Finally , we draw some",,2023
Sum,W2136893259,39,auto,In,Chapter,"5 , we","In Chapter 5 , we",,2023
Sum,W2136893259,40,auto,Those,methods,may be less,Those methods may be less,,2023
Sum,W2136893259,41,auto,Quantitative,Approaches,"Superficially , the","Quantitative Approaches Superficially , the",,2023
Sum,W2136893259,42,auto,To,begin,"with , it","To begin with , it",,2023
Sum,W2136893259,43,auto,Further,",",drawing a sample,"Further , drawing a sample",,2023
Sum,W2136893259,44,auto,We,discuss,these two issues,We discuss these two issues,,2023
Sum,W2136893259,45,auto,A,further,complication is the,A further complication is the,,2023
Sum,W2136893259,46,auto,For,example,", authors have","For example , authors have",,2023
Sum,W2136893259,47,auto,In,this,"section , we","In this section , we",,2023
Sum,W2136893259,48,auto,First,",",we discuss the,"First , we discuss the",,2023
Sum,W2136893259,49,auto,Coding,schemes,Researchers who apply,Coding schemes Researchers who apply,,2023
Sum,W2136893259,50,auto,Thereafter,",",a statistical analysis,"Thereafter , a statistical analysis",,2023
Sum,W2136893259,51,auto,This,type,of study continues,This type of study continues,,2023
Sum,W2136893259,52,auto,It,is,impo,It is impo,,2023
Sum,W2136893259,53,auto,rtant,to,remark that a,rtant to remark that a,,2023
Sum,W2136893259,54,auto,Researchers,have,to develop or,Researchers have to develop or,,2023
Sum,W2136893259,55,auto,In,their,"classic study ,","In their classic study ,",,2023
Sum,W2136893259,56,auto,The,coding,schemes mentioned above,The coding schemes mentioned above,,2023
Sum,W2136893259,57,auto,In,Table,4 Barni and,In Table 4 Barni and,,2023
Sum,W2136893259,58,auto,It,depends,", of course","It depends , of course",,2023
Sum,W2136893259,59,auto,The,type,of ( statistical,The type of ( statistical,,2023
Sum,W2136893259,60,auto,Descriptive,statistics,are frequently applied,Descriptive statistics are frequently applied,,2023
Sum,W2136893259,61,auto,Cases,of,quantitative studies,Cases of quantitative studies,,2023
Sum,W2136893259,62,auto,As,stated,in the foregoing,As stated in the foregoing,,2023
Sum,W2136893259,63,auto,Many,of,those studies have,Many of those studies have,,2023
Sum,W2136893259,64,auto,We,present,some instances of,We present some instances of,,2023
Sum,W2136893259,65,auto,In,the,framework of the,In the framework of the,,2023
Sum,W2136893259,66,auto,The,study,was part of,The study was part of,,2023
Sum,W2136893259,67,auto,With,the,help of a,With the help of a,,2023
Sum,W2136893259,68,auto,In,a,similar descriptive study,In a similar descriptive study,,2023
Sum,W2136893259,69,auto,In,this,"community , the","In this community , the",,2023
Sum,W2136893259,70,auto,The,three,research questions focused,The three research questions focused,,2023
Sum,W2136893259,71,auto,The,results,were presented in,The results were presented in,,2023
Sum,W2136893259,72,auto,The,publication,included four photographs,The publication included four photographs,,2023
Sum,W2136893259,73,auto,Lado's,results,uncover,Lado's results uncover,,2023
Sum,W2136893259,74,auto,ed,that,in the Valencian,ed that in the Valencian,,2023
Sum,W2136893259,75,auto,More,studies,on Catalan as,More studies on Catalan as,,2023
Sum,W2136893259,76,auto,In,another,", similar but","In another , similar but",,2023
Sum,W2136893259,77,auto,He,posed,three research questions,He posed three research questions,,2023
Sum,W2136893259,78,auto,In,both,"cities , he","In both cities , he",,2023
Sum,W2136893259,79,auto,In,each,"district , he","In each district , he",,2023
Sum,W2136893259,80,auto,The,sample,in Vilnius was,The sample in Vilnius was,,2023
Sum,W2136893259,81,auto,For,the,unit of analysis,For the unit of analysis,,2023
Sum,W2136893259,82,auto,Another,example,which can be,Another example which can be,,2023
Sum,W2136893259,83,auto,Lai,(,2013 ) investigated,Lai ( 2013 ) investigated,,2023
Sum,W2136893259,84,auto,She,collected,a sample of,She collected a sample of,,2023
Sum,W2136893259,85,auto,In,each,"district , she","In each district , she",,2023
Sum,W2136893259,86,auto,This,is,an explicit aim,This is an explicit aim,,2023
Sum,W2136893259,87,auto,They,investigated,the largely Hispanic,They investigated the largely Hispanic,,2023
Sum,W2136893259,88,auto,The,two,research questions regarded,The two research questions regarded,,2023
Sum,W2136893259,89,auto,In,five,areas of the,In five areas of the,,2023
Sum,W2136893259,90,auto,The,signs,were coded for,The signs were coded for,,2023
Sum,W2136893259,91,auto,Based,on,Goffman's frame analysis,Based on Goffman's frame analysis,,2023
Sum,W2136893259,92,auto,They,performed,statistical analysis through,They performed statistical analysis through,,2023
Sum,W2136893259,93,auto,ignificance,of,the location in,ignificance of the location in,,2023
Sum,W2136893259,94,auto,In,the,"article , the","In the article , the",,2023
Sum,W2136893259,95,auto,Also,included,are two figures,Also included are two figures,,2023
Sum,W2136893259,96,auto,The,authors,concluded that ',The authors concluded that ',,2023
Sum,W2136893259,97,auto,The,label,is related to,The label is related to,,2023
Sum,W2136893259,98,auto,The,main,principle is the,The main principle is the,,2023
Sum,W2136893259,99,auto,Soukup,(,2020 ) contains,Soukup ( 2020 ) contains,,2023
Sum,W2136893259,100,auto,Advanced,statistical,techniques Lyons' (,Advanced statistical techniques Lyons' (,,2023
Sum,W2136893259,101,auto,She,shifted,to inferential statistics,She shifted to inferential statistics,,2023
Sum,W2136893259,102,auto,Lyons,adopted,four of the,Lyons adopted four of the,,2023
Sum,W2136893259,103,auto,She,added,' locus ',She added ' locus ',,2023
Sum,W2136893259,104,auto,Another,addition,was the estimated,Another addition was the estimated,,2023
Sum,W2136893259,105,auto,In,the,European research network,In the European research network,,2023
Sum,W2136893259,106,auto,As,has,"been mentioned ,","As has been mentioned ,",,2023
Sum,W2136893259,107,auto,se,of,maps ) .,se of maps ) .,,2023
Sum,W2136893259,108,auto,In,Mājro,"/ Majuro ,","In Mājro / Majuro ,",,2023
Sum,W2136893259,109,auto,They,present,the results in,They present the results in,,2023
Sum,W2136893259,110,auto,For,the,"variationist part ,","For the variationist part ,",,2023
Sum,W2136893259,111,auto,First,",",exploring a model,"First , exploring a model",,2023
Sum,W2136893259,112,auto,Similarly,",",Restrepo - Ramos,"Similarly , Restrepo - Ramos",,2023
Sum,W2136893259,113,auto,In,this,"way , he","In this way , he",,2023
Sum,W2136893259,114,auto,The,outcomes,clearly visualize a,The outcomes clearly visualize a,,2023
Sum,W2136893259,115,auto,He,also,included some sophisticated,He also included some sophisticated,,2023
Sum,W2136893259,116,auto,The,works,mentioned represent case,The works mentioned represent case,,2023
Sum,W2136893259,117,auto,Smartphone,apps,for data collection,Smartphone apps for data collection,,2023
Sum,W2136893259,118,auto,This,can,vary from a,This can vary from a,,2023
Sum,W2136893259,119,auto,Creating,a,large database of,Creating a large database of,,2023
Sum,W2136893259,120,auto,In,this,"way , a","In this way , a",,2023
Sum,W2136893259,121,auto,We,can,summarize the two,We can summarize the two,,2023
Sum,W2136893259,122,auto,In,October,"2015 , the","In October 2015 , the",,2023
Sum,W2136893259,123,auto,Its,primary,aim is to,Its primary aim is to,,2023
Sum,W2136893259,124,auto,The,app,asks its users,The app asks its users,,2023
Sum,W2136893259,125,auto,The,photos,are georeferenced and,The photos are georeferenced and,,2023
Sum,W2136893259,126,auto,After,clicking,on a dot,After clicking on a dot,,2023
Sum,W2136893259,127,auto,The,LinguaSnapp,app is part,The LinguaSnapp app is part,,2023
Sum,W2136893259,128,auto,ject,that,aims to study,ject that aims to study,,2023
Sum,W2136893259,129,auto,A,localized,version was created,A localized version was created,,2023
Sum,W2136893259,130,auto,For,the,"time being ,","For the time being ,",,2023
Sum,W2136893259,131,auto,In,2022,", LinguaSnapp Eesti","In 2022 , LinguaSnapp Eesti",,2023
Sum,W2136893259,132,auto,In,a,short review of,In a short review of,,2023
Sum,W2136893259,133,auto,Possible,disadvantages,are in the,Possible disadvantages are in the,,2023
Sum,W2136893259,134,auto,Lingscape,is,the second major,Lingscape is the second major,,2023
Sum,W2136893259,135,auto,The,app,was developed at,The app was developed at,,2023
Sum,W2136893259,136,auto,The,Lingscape,app contains an,The Lingscape app contains an,,2023
Sum,W2136893259,137,auto,These,categories,largely overlap with,These categories largely overlap with,,2023
Sum,W2136893259,138,auto,One,major,difference is that,One major difference is that,,2023
Sum,W2136893259,139,auto,One,critical,reflection can be,One critical reflection can be,,2023
Sum,W2136893259,140,auto,Some,linguistic,landscape researchers might,Some linguistic landscape researchers might,,2023
Sum,W2136893259,141,auto,Although,their,aim is to,Although their aim is to,,2023
Sum,W2136893259,142,auto,Such,a,purposeful use as,Such a purposeful use as,,2023
Sum,W2136893259,143,auto,Another,obvious,application is using,Another obvious application is using,,2023
Sum,W2136893259,144,auto,The,two,apps are good,The two apps are good,,2023
Sum,W2136893259,145,auto,Critiques,of,a quantitative approach,Critiques of a quantitative approach,,2023
Sum,W2136893259,146,auto,endency,to,reduce it to,endency to reduce it to,,2023
Sum,W2136893259,147,auto,Thus,",",in his study,"Thus , in his study",,2023
Sum,W2136893259,148,auto,In,the,"next section ,","In the next section ,",,2023
Sum,W2136893259,150,auto,In,the,introduction to this,In the introduction to this,,2023
Sum,W2136893259,151,auto,Qualitative,approaches,are important for,Qualitative approaches are important for,,2023
Sum,W2136893259,152,auto,In,some,early linguistic landscape,In some early linguistic landscape,,2023
Sum,W2136893259,153,auto,For,example,", in his","For example , in his",,2023
Sum,W2136893259,154,auto,These,studies,show that by,These studies show that by,,2023
Sum,W2136893259,155,auto,Other,questions,relate to the,Other questions relate to the,,2023
Sum,W2136893259,156,auto,Simple,answers,to such research,Simple answers to such research,,2023
Sum,W2136893259,157,auto,In,terms,of qualitative approaches,In terms of qualitative approaches,,2023
Sum,W2136893259,158,auto,A,first,outline was presented,A first outline was presented,,2023
Sum,W2136893259,159,auto,The,same,qualitative ethnographic approach,The same qualitative ethnographic approach,,2023
Sum,W2136893259,160,auto,Blommaert,and,Maly ( 2016,Blommaert and Maly ( 2016,,2023
Sum,W2136893259,161,auto,Using,ELLA,", the researchers","Using ELLA , the researchers",,2023
Sum,W2136893259,162,auto,The,qualitative,elements of the,The qualitative elements of the,,2023
Sum,W2136893259,163,auto,These,findings,point to the,These findings point to the,,2023
Sum,W2136893259,164,auto,identity,aspirations,of different groups,identity aspirations of different groups,,2023
Sum,W2136893259,165,auto,This,implies,that signs are,This implies that signs are,,2023
