topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
QA,W4281564584,0,auto,Maria,Lungu,mclungu13@gmail.com Florida Atlantic,Maria Lungu mclungu13@gmail.com Florida Atlantic,0.71014374,2022
QA,W4281564584,1,auto,This,provides,readers with more,This provides readers with more,0.6907525,2022
QA,W4281564584,2,auto,The,fourth,edition also introduces,The fourth edition also introduces,0.74475545,2022
QA,W4281564584,3,auto,The,fourth,edition is aptly,The fourth edition is aptly,0.774968,2022
QA,W4281564584,4,auto,This,includes,screenshots of relevant,This includes screenshots of relevant,0.6968832,2022
QA,W4281564584,5,auto,Furthermore,",",this book can,"Furthermore , this book can",0.54272413,2022
QA,W4281564584,6,auto,In,The,Coding Manual for,In The Coding Manual for,0.7286965,2022
QA,W4281564584,7,auto,The,diverse,range of coding,The diverse range of coding,0.7004908,2022
QA,W4281564584,8,auto,Though,not,designated as a,Though not designated as a,0.78170675,2022
QA,W4281564584,9,auto,The,evidence,of contradictory viewpoints,The evidence of contradictory viewpoints,0.7254303,2022
QA,W4281564584,10,auto,The,practicality,provided versus the,The practicality provided versus the,0.7019875,2022
QA,W4281564584,11,auto,Saldaña,is,adamant that the,Saldaña is adamant that the,0.7088768,2022
QA,W4281564584,12,auto,That,hones,in on the,That hones in on the,0.6809026,2022
QA,W4281564584,14,auto,In,part,"one , the","In part one , the",0.7163775,2022
QA,W4281564584,15,auto,For,the,"novice coder ,","For the novice coder ,",0.7493522,2022
QA,W4281564584,16,auto,Saldaña,describes,a code as,Saldaña describes a code as,0.7205317,2022
QA,W4281564584,17,auto,Saldaña,recognizes,that qualitative inquiry,Saldaña recognizes that qualitative inquiry,0.63485086,2022
QA,W4281564584,18,auto,.,The,complex nature of,. The complex nature of,0.7585039,2022
QA,W4281564584,19,auto,This,edition,introduces a section,This edition introduces a section,0.655511,2022
QA,W4281564584,20,auto,Given,the,push for think,Given the push for think,0.7606204,2022
QA,W4281564584,21,auto,Saldaña,references,"Gee , Michaels","Saldaña references Gee , Michaels",0.44483578,2022
QA,W4281564584,22,auto,Chapter,3,reviews analytical memo,Chapter 3 reviews analytical memo,0.7025689,2022
QA,W4281564584,23,auto,Data,generation,can consist of,Data generation can consist of,0.7547602,2022
QA,W4281564584,24,auto,This,is,especially helpful because,This is especially helpful because,0.6262336,2022
QA,W4281564584,25,auto,The,process,is not sequential,The process is not sequential,0.7861205,2022
QA,W4281564584,26,auto,Saldaña,describes,this as reflection,Saldaña describes this as reflection,0.684193,2022
QA,W4281564584,27,auto,The,cyclical,collection lends itself,The cyclical collection lends itself,0.67223465,2022
QA,W4281564584,28,auto,Part,2,Part two of,Part 2 Part two of,0.7235482,2022
QA,W4281564584,29,auto,This,book,organically divides coding,This book organically divides coding,0.65225434,2022
QA,W4281564584,30,auto,The,second,coding cycle is,The second coding cycle is,0.723045,2022
QA,W4281564584,31,auto,This,edition,of the book,This edition of the book,0.7258205,2022
QA,W4281564584,32,auto,Through,Appendix,"B , a","Through Appendix B , a",0.6170144,2022
QA,W4281564584,33,auto,Qualitative,studies,are unique therefore,Qualitative studies are unique therefore,0.614128,2022
QA,W4281564584,34,auto,Chapter,4,introduces the progressive,Chapter 4 introduces the progressive,0.64217436,2022
QA,W4281564584,35,auto,Chapters,six,through eleven detail,Chapters six through eleven detail,0.7684757,2022
QA,W4281564584,36,auto,Additional,sources,", recommendations ,","Additional sources , recommendations ,",0.65129215,2022
QA,W4281564584,37,auto,Although,each,chapter is thoroughly,Although each chapter is thoroughly,0.7230659,2022
QA,W4281564584,38,auto,Overall,",",the use of,"Overall , the use of",0.6521063,2022
QA,W4281564584,39,auto,This,way,", a user","This way , a user",0.6835363,2022
QA,W4281564584,40,auto,ence,that,road map and,ence that road map and,0.6223248,2022
QA,W4281564584,41,auto,Chapter,8,introduces metaphor coding,Chapter 8 introduces metaphor coding,0.64823055,2022
QA,W4281564584,42,auto,This,strategy,includes finding metaphors,This strategy includes finding metaphors,0.7079043,2022
