topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
Dia2022_2025,W4319662928,0,auto,Performance,of,ChatGPT on USMLE,Performance of ChatGPT on USMLE,0.6102005
Dia2022_2025,W4319662928,1,auto,0000-0003-0211-512X,AnsibleHealth,", Inc Mountain","0000-0003-0211-512X AnsibleHealth , Inc Mountain",0.638757
Dia2022_2025,W4319662928,2,auto,We,evaluated,the performance of,We evaluated the performance of,0.668161
Dia2022_2025,W4319662928,3,auto,ChatGPT,performed,at or near,ChatGPT performed at or near,0.44162974
Dia2022_2025,W4319662928,4,auto,Additionally,",",ChatGPT demonstrated a,"Additionally , ChatGPT demonstrated a",0.5823789
Dia2022_2025,W4319662928,5,auto,These,results,suggest that large,These results suggest that large,0.57237774
Dia2022_2025,W4319662928,7,auto,Over,the,"past decade ,","Over the past decade ,",0.7743904
Dia2022_2025,W4319662928,8,auto,The,ability,to build highly,The ability to build highly,0.6941102
Dia2022_2025,W4319662928,9,auto,While,these,technologies have made,While these technologies have made,0.7105843
Dia2022_2025,W4319662928,10,auto,The,proliferation,of clinical free,The proliferation of clinical free,0.6703685
Dia2022_2025,W4319662928,11,auto,Even,when,algorithms applicable to,Even when algorithms applicable to,0.6931034
Dia2022_2025,W4319662928,12,auto,The,proper,development of clinical,The proper development of clinical,0.6301725
Dia2022_2025,W4319662928,13,auto,In,the,past three weeks,In the past three weeks,0.64566195
Dia2022_2025,W4319662928,14,auto,ChatGPT,is,a general Large,ChatGPT is a general Large,0.6242931
Dia2022_2025,W4319662928,15,auto,While,the,previous class of,While the previous class of,0.7841387
Dia2022_2025,W4319662928,16,auto,Thus,",",if LLMs are,"Thus , if LLMs are",0.6701441
Dia2022_2025,W4319662928,17,auto,ChatGPT,is,powered by GPT,ChatGPT is powered by GPT,0.6507043
Dia2022_2025,W4319662928,18,auto,Anecdotal,usage,indicates that ChatGPT,Anecdotal usage indicates that ChatGPT,0.7128139
Dia2022_2025,W4319662928,19,auto,In,this,"study , we","In this study , we",0.755725
Dia2022_2025,W4319662928,20,auto,The,USMLE,is a high,The USMLE is a high,0.63122153
Dia2022_2025,W4319662928,21,auto,The,difficulty,and complexity of,The difficulty and complexity of,0.722865
Dia2022_2025,W4319662928,22,auto,The,examination,is well -,The examination is well -,0.6760292
Dia2022_2025,W4319662928,23,auto,USMLE,questions,are textually and,USMLE questions are textually and,0.6298086
Dia2022_2025,W4319662928,24,auto,Due,to,its linguistic and,Due to its linguistic and,0.6181502
Dia2022_2025,W4319662928,25,auto,Our,work,aims to provide,Our work aims to provide,0.64347374
Dia2022_2025,W4319662928,26,auto,Methods,Artificial,Intelligence ChatGPT (,Methods Artificial Intelligence ChatGPT (,0.74418056
Dia2022_2025,W4319662928,27,auto,It,is,particularly effective at,It is particularly effective at,0.6327578
Dia2022_2025,W4319662928,28,auto,ChatGPT,is,a servercontained language,ChatGPT is a servercontained language,0.5288168
Dia2022_2025,W4319662928,29,auto,Therefore,",",all responses are,"Therefore , all responses are",0.6479029
Dia2022_2025,W4319662928,30,auto,This,contrasts,to other chatbots,This contrasts to other chatbots,0.71098924
Dia2022_2025,W4319662928,31,auto,Input,source,376 publicly -,Input source 376 publicly -,0.69529647
Dia2022_2025,W4319662928,32,auto,Therefore,",",all inputs represented,"Therefore , all inputs represented",0.63357276
Dia2022_2025,W4319662928,33,auto,This,was,further confirmed by,This was further confirmed by,0.70073944
Dia2022_2025,W4319662928,34,auto,All,sample,test questions were,All sample test questions were,0.74080706
Dia2022_2025,W4319662928,35,auto,After,filtering,", 350 USMLE","After filtering , 350 USMLE",0.7300474
Dia2022_2025,W4319662928,36,auto,Assuming,a,normal distribution of,Assuming a normal distribution of,0.64759904
Dia2022_2025,W4319662928,37,auto,Encoding,Questions,were formatted into,Encoding Questions were formatted into,0.61357754
Dia2022_2025,W4319662928,38,auto,This,format,simulates free input,This format simulates free input,0.656189
Dia2022_2025,W4319662928,39,auto,Examples,include,": "" What","Examples include : "" What",0.6629962
Dia2022_2025,W4319662928,40,auto,2,.,Multiple choice single,2 . Multiple choice single,0.58733594
Dia2022_2025,W4319662928,41,auto,Examples,include,": "" Which","Examples include : "" Which",0.6735098
Dia2022_2025,W4319662928,42,auto,3,.,Multiple choice single,3 . Multiple choice single,0.59132534
Dia2022_2025,W4319662928,43,auto,Examples,include,": "" Which","Examples include : "" Which",0.6735098
Dia2022_2025,W4319662928,44,auto,Explain,your,rationale for each,Explain your rationale for each,0.7226926
