topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
NLI,W4224300633,0,auto,Particle,Swarm,Optimization Algorithm and,Particle Swarm Optimization Algorithm and,,2022
NLI,W4224300633,1,auto,Faculty,of,Computers and Information,Faculty of Computers and Information,,2022
NLI,W4224300633,2,auto,Among,many,"others , Swarm","Among many others , Swarm",,2022
NLI,W4224300633,3,auto,One,of,the most popular,One of the most popular,,2022
NLI,W4224300633,4,auto,Many,changes,have been made,Many changes have been made,,2022
NLI,W4224300633,5,auto,Since,their,learning about the,Since their learning about the,,2022
NLI,W4224300633,6,auto,Various,perspectives,are surveyed in,Various perspectives are surveyed in,,2022
NLI,W4224300633,7,auto,More,specifically,", this paper","More specifically , this paper",,2022
NLI,W4224300633,8,auto,Some,technical,"characteristics , including","Some technical characteristics , including",,2022
NLI,W4224300633,9,auto,Each,addressed,study has some,Each addressed study has some,,2022
NLI,W4224300633,11,auto,It,has,been proven in,It has been proven in,,2022
NLI,W4224300633,12,auto,For,working,out those problems,For working out those problems,,2022
NLI,W4224300633,14,auto,lly,",",a swarm is,"lly , a swarm is",,2022
NLI,W4224300633,15,auto,Swarm,-,based techniques have,Swarm - based techniques have,,2022
NLI,W4224300633,16,auto,The,local,optima issue in,The local optima issue in,,2022
NLI,W4224300633,17,auto,For,example,", some of","For example , some of",,2022
NLI,W4224300633,18,auto,Other,researchers,have taken on,Other researchers have taken on,,2022
NLI,W4224300633,19,auto,Consequently,",",hybrid versions of,"Consequently , hybrid versions of",,2022
NLI,W4224300633,20,auto,To,this,"point , the","To this point , the",,2022
NLI,W4224300633,21,auto,However,",",few review papers,"However , few review papers",,2022
NLI,W4224300633,22,auto,The,structure,of this study,The structure of this study,,2022
NLI,W4224300633,23,auto,Section,2,presents the related,Section 2 presents the related,,2022
NLI,W4224300633,24,auto,A,brief,foundation of the,A brief foundation of the,,2022
NLI,W4224300633,25,auto,3,.,Section 4 exploits,3 . Section 4 exploits,,2022
NLI,W4224300633,26,auto,Section,5,demonstrates the various,Section 5 demonstrates the various,,2022
NLI,W4224300633,27,auto,Section,6,systematically outlines and,Section 6 systematically outlines and,,2022
NLI,W4224300633,28,auto,Also,",",a technical classification,"Also , a technical classification",,2022
NLI,W4224300633,29,auto,Section,7,provides a discussion,Section 7 provides a discussion,,2022
NLI,W4224300633,30,auto,Finally,",",Sect. 9 concludes,"Finally , Sect. 9 concludes",,2022
NLI,W4224300633,31,auto,Related,Work,A swift explanation,Related Work A swift explanation,,2022
NLI,W4224300633,32,auto,Poli,et,al . [,Poli et al . [,,2022
NLI,W4224300633,33,auto,Banks,et,al. [ 13,Banks et al. [ 13,,2022
NLI,W4224300633,34,auto,Imran,et,al . [,Imran et al . [,,2022
NLI,W4224300633,35,auto,Alam,et,al . [,Alam et al . [,,2022
NLI,W4224300633,36,auto,Wang,et,al . [,Wang et al . [,,2022
NLI,W4224300633,37,auto,Summarizing,",",Table 1 •,"Summarizing , Table 1 •",,2022
NLI,W4224300633,38,auto,•,Important,assessment factors are,• Important assessment factors are,,2022
NLI,W4224300633,39,auto,The,systematic,arrangement is typically,The systematic arrangement is typically,,2022
NLI,W4224300633,40,auto,3,Particle,Swarm Optimization :,3 Particle Swarm Optimization :,,2022
NLI,W4224300633,41,auto,",",namely,", self -",", namely , self -",,2022
NLI,W4224300633,42,auto,This,process,is characterized by,This process is characterized by,,2022
NLI,W4224300633,43,auto,The,self,- organization in,The self - organization in,,2022
NLI,W4224300633,45,auto,Trade,-,off between exploration,Trade - off between exploration,,2022
NLI,W4224300633,46,auto,•,Multiple,interactions Information coming,• Multiple interactions Information coming,,2022
NLI,W4224300633,47,auto,To,get,the optimum solution,To get the optimum solution,,2022
NLI,W4224300633,48,auto,An,upper,bound is commonly,An upper bound is commonly,,2022
NLI,W4224300633,49,auto,As,a,means to prevent,As a means to prevent,,2022
NLI,W4224300633,50,auto,By,scrutinizing,Eq. ( 3,By scrutinizing Eq. ( 3,,2022
NLI,W4224300633,51,auto,Then,",",the function takes,"Then , the function takes",,2022
NLI,W4224300633,52,auto,The,f,gradient is either,The f gradient is either,,2022
NLI,W4224300633,53,auto,Then,",",the global minimum,"Then , the global minimum",,2022
NLI,W4224300633,55,auto,The,flowchart,to demonstrate the,The flowchart to demonstrate the,,2022
NLI,W4224300633,56,auto,This,section,depends on the,This section depends on the,,2022
NLI,W4224300633,57,auto,cation,-,"based "" OR","cation - based "" OR",,2022
NLI,W4224300633,58,auto,Figure,2,3 • Papers,Figure 2 3 • Papers,,2022
NLI,W4224300633,59,auto,•,Papers,on PSO topics,• Papers on PSO topics,,2022
NLI,W4224300633,60,auto,•,Papers,prepared in a,• Papers prepared in a,,2022
NLI,W4224300633,61,auto,•,Papers,that follow the,• Papers that follow the,,2022
