topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
MT2022_2025,W4392343318,0,auto,NF,-,κB in biology,NF - κB in biology,
MT2022_2025,W4392343318,1,auto,Initially,",",NF - κB,"Initially , NF - κB",
MT2022_2025,W4392343318,2,auto,However,",",with extensive and,"However , with extensive and",
MT2022_2025,W4392343318,3,auto,In,this,"review , we","In this review , we",
MT2022_2025,W4392343318,4,auto,We,investigate,the interaction of,We investigate the interaction of,
MT2022_2025,W4392343318,5,auto,The,physiological,and pathological states,The physiological and pathological states,
MT2022_2025,W4392343318,6,auto,Additionally,",",we illustrate how,"Additionally , we illustrate how",
MT2022_2025,W4392343318,7,auto,Further,",",we discuss the,"Further , we discuss the",
MT2022_2025,W4392343318,8,auto,We,hope,to present a,We hope to present a,
MT2022_2025,W4392343318,10,auto,In,1986,", Ranjan Sen","In 1986 , Ranjan Sen",
MT2022_2025,W4392343318,11,auto,THE,HISTORY,AND DEVELOPMENT OF,THE HISTORY AND DEVELOPMENT OF,
MT2022_2025,W4392343318,12,auto,The,mammalian,NF - κB,The mammalian NF - κB,
MT2022_2025,W4392343318,13,auto,Due,to,the sharing of,Due to the sharing of,
MT2022_2025,W4392343318,14,auto,6,7,"8 , 9","6 7 8 , 9",
MT2022_2025,W4392343318,15,auto,10,10,"1 11 ,","10 10 1 11 ,",
MT2022_2025,W4392343318,16,auto,13,IκBα,", IκBβ ,","13 IκBα , IκBβ ,",
MT2022_2025,W4392343318,17,auto,8,8,7 Phosphorylation of,8 8 7 Phosphorylation of,
MT2022_2025,W4392343318,18,auto,IκB,is,phosphorylated by the,IκB is phosphorylated by the,
MT2022_2025,W4392343318,19,auto,Therefore,",",IKK is a,"Therefore , IKK is a",
MT2022_2025,W4392343318,20,auto,In,addition,", IKKα and","In addition , IKKα and",
MT2022_2025,W4392343318,21,auto,38,38,39 Activation and,38 38 39 Activation and,
MT2022_2025,W4392343318,22,auto,NF,-,κB signaling may,NF - κB signaling may,
MT2022_2025,W4392343318,23,auto,6,",",40 41 41,"6 , 40 41 41",
MT2022_2025,W4392343318,24,auto,When,Notch,signaling is transmitted,When Notch signaling is transmitted,
MT2022_2025,W4392343318,25,auto,The,network,of interactions between,The network of interactions between,
MT2022_2025,W4392343318,26,auto,158,",",159 160 161,"158 , 159 160 161",
MT2022_2025,W4392343318,27,auto,Mammalian,TLRs,are expressed in,Mammalian TLRs are expressed in,
