topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
QA2022_2025,W4384071683,0,auto,Large,language,models encode clinical,Large language models encode clinical,0.7241479
QA2022_2025,W4384071683,1,auto,Heather,Cole,- Lewis Google,Heather Cole - Lewis Google,0.7579197
QA2022_2025,W4384071683,2,auto,Large,language,models encode clinical,Large language models encode clinical,0.7241479
QA2022_2025,W4384071683,3,auto,Attempts,to,assess the clinical,Attempts to assess the clinical,0.6045705
QA2022_2025,W4384071683,4,auto,Here,",",to address these,"Here , to address these",0.65187514
QA2022_2025,W4384071683,5,auto,We,propose,a human evaluation,We propose a human evaluation,0.6312361
QA2022_2025,W4384071683,6,auto,In,addition,", we evaluate","In addition , we evaluate",0.6141747
QA2022_2025,W4384071683,7,auto,Using,a,combination of prompting,Using a combination of prompting,0.62862235
QA2022_2025,W4384071683,8,auto,However,",",human evaluation reveals,"However , human evaluation reveals",0.58071613
QA2022_2025,W4384071683,9,auto,To,resolve,"this , we","To resolve this , we",0.6224867
QA2022_2025,W4384071683,10,auto,The,resulting,"model , Med","The resulting model , Med",0.6851516
QA2022_2025,W4384071683,11,auto,We,show,"that comprehension ,","We show that comprehension ,",0.7085543
QA2022_2025,W4384071683,12,auto,Our,human,evaluations reveal limitations,Our human evaluations reveal limitations,0.65610933
QA2022_2025,W4384071683,13,auto,Medicine,is,a humane endeavour,Medicine is a humane endeavour,0.51347333
QA2022_2025,W4384071683,14,auto,Yet,",",today's artificial intelligence,"Yet , today's artificial intelligence",0.5730907
QA2022_2025,W4384071683,15,auto,These,models,", although useful","These models , although useful",0.6439152
QA2022_2025,W4384071683,16,auto,Recent,advances,in LLMs offer,Recent advances in LLMs offer,0.7809018
QA2022_2025,W4384071683,17,auto,LLMs,are,' foundation models,LLMs are ' foundation models,0.62036884
QA2022_2025,W4384071683,18,auto,These,expressive,and interactive models,These expressive and interactive models,0.6779177
QA2022_2025,W4384071683,19,auto,There,are,several exciting potential,There are several exciting potential,0.6311464
QA2022_2025,W4384071683,20,auto,However,",",the safety -,"However , the safety -",0.628689
QA2022_2025,W4384071683,21,auto,This,is,especially important for,This is especially important for,0.691562
QA2022_2025,W4384071683,22,auto,They,may,", for instance","They may , for instance",0.5617394
QA2022_2025,W4384071683,23,auto,To,evaluate,how well LLMs,To evaluate how well LLMs,0.66579384
QA2022_2025,W4384071683,24,auto,This,task,is challenging :,This task is challenging :,0.7221091
QA2022_2025,W4384071683,25,auto,Existing,medical,question - answering,Existing medical question - answering,0.729511
QA2022_2025,W4384071683,26,auto,To,resolve,"this , we","To resolve this , we",0.6224867
QA2022_2025,W4384071683,27,auto,The,resulting,"model , Med","The resulting model , Med",0.6851516
QA2022_2025,W4384071683,28,auto,For,example,", a panel","For example , a panel",0.6839496
QA2022_2025,W4384071683,29,auto,Similarly,",",29.7 % of,"Similarly , 29.7 % of",0.58082336
QA2022_2025,W4384071683,30,auto,Although,these,results are promising,Although these results are promising,0.6591772
QA2022_2025,W4384071683,31,auto,Further,evaluations,"are necessary ,","Further evaluations are necessary ,",0.6467105
QA2022_2025,W4384071683,32,auto,Our,work,demonstrates that many,Our work demonstrates that many,0.6715029
QA2022_2025,W4384071683,33,auto,We,outline,some key limitations,We outline some key limitations,0.7171012
QA2022_2025,W4384071683,35,auto,Our,first,key contribution is,Our first key contribution is,0.59623134
QA2022_2025,W4384071683,36,auto,We,introduce,"HealthSearchQA , a","We introduce HealthSearchQA , a",0.60594195
QA2022_2025,W4384071683,37,auto,We,present,this dataset alongside,We present this dataset alongside,0.6099956
QA2022_2025,W4384071683,38,auto,We,pilot,a framework for,We pilot a framework for,0.7231157
QA2022_2025,W4384071683,39,auto,Our,evaluation,assesses answers for,Our evaluation assesses answers for,0.78155243
QA2022_2025,W4384071683,40,auto,The,second,key contribution is,The second key contribution is,0.6281877
QA2022_2025,W4384071683,41,auto,Specifically,",",we reach 67.6,"Specifically , we reach 67.6",0.6067282
QA2022_2025,W4384071683,42,auto,The,next,contribution is the,The next contribution is the,0.6432816
QA2022_2025,W4384071683,43,auto,We,leverage,this technique to,We leverage this technique to,0.7244821
QA2022_2025,W4384071683,44,auto,It,is,caused by a,It is caused by a,0.7250196
QA2022_2025,W4384071683,45,auto,Bilirubin,is,a byproduct of,Bilirubin is a byproduct of,0.58765036
QA2022_2025,W4384071683,46,auto,Newborn,jaundice,is common and,Newborn jaundice is common and,0.6791799
QA2022_2025,W4384071683,47,auto,The,jaundice,typically goes away,The jaundice typically goes away,0.59707516
QA2022_2025,W4384071683,48,auto,In,some,"cases , it","In some cases , it",0.74298686
QA2022_2025,W4384071683,49,auto,The,time,it takes for,The time it takes for,0.72017527
QA2022_2025,W4384071683,50,auto,If,the,jaundice is severe,If the jaundice is severe,0.68406385
QA2022_2025,W4384071683,51,auto,Article,version,of Flan -,Article version of Flan -,0.62671506
QA2022_2025,W4384071683,52,auto,Although,our,results demonstrate the,Although our results demonstrate the,0.7089683
QA2022_2025,W4384071683,53,auto,Model,development,and evaluation of,Model development and evaluation of,0.77063257
QA2022_2025,W4384071683,54,auto,We,first,provide an overview,We first provide an overview,0.6660718
QA2022_2025,W4384071683,55,auto,On,the,MedQA dataset consisting,On the MedQA dataset consisting,0.65899575
QA2022_2025,W4384071683,56,auto,Concurrent,with,"our study ,","Concurrent with our study ,",0.6753432
QA2022_2025,W4384071683,57,auto,On,the,"MedMCQA dataset ,","On the MedMCQA dataset ,",0.71259046
QA2022_2025,W4384071683,58,auto,This,exceeds,the previous state,This exceeds the previous state,0.6358544
QA2022_2025,W4384071683,59,auto,The,MMLU,dataset contains multiple,The MMLU dataset contains multiple,0.70899624
QA2022_2025,W4384071683,60,auto,These,include,"anatomy , clinical","These include anatomy , clinical",0.58092046
QA2022_2025,W4384071683,61,auto,Flan,-,PaLM 540B achieved,Flan - PaLM 540B achieved,0.6743211
QA2022_2025,W4384071683,62,auto,In,particular,", on the","In particular , on the",0.72333115
QA2022_2025,W4384071683,63,auto,Extended,Data,Fig. 2 20,Extended Data Fig. 2 20,0.53918546
QA2022_2025,W4384071683,64,auto,We,performed,several ablations on,We performed several ablations on,0.47218674
QA2022_2025,W4384071683,65,auto,Instruction,tuning,improves performance Across,Instruction tuning improves performance Across,0.72276497
QA2022_2025,W4384071683,66,auto,The,models,were few -,The models were few -,0.69819015
QA2022_2025,W4384071683,67,auto,The,detailed,results are summarized,The detailed results are summarized,0.7270621
QA2022_2025,W4384071683,68,auto,Med,-,PaLM ( instruction,Med - PaLM ( instruction,0.6556987
QA2022_2025,W4384071683,69,auto,However,",",given the success,"However , given the success",0.60920143
QA2022_2025,W4384071683,70,auto,It,has,been shown that,It has been shown that,0.6274183
QA2022_2025,W4384071683,71,auto,We,then,marginalized over the,We then marginalized over the,0.6350744
QA2022_2025,W4384071683,72,auto,Using,this,"strategy , we","Using this strategy , we",0.749681
QA2022_2025,W4384071683,73,auto,In,particular,", for the","In particular , for the",0.66198444
QA2022_2025,W4384071683,74,auto,However,",",self - consistency,"However , self - consistency",0.5286937
QA2022_2025,W4384071683,75,auto,The,results,are summarized in,The results are summarized in,0.56562674
QA2022_2025,W4384071683,76,auto,However,",",they can also,"However , they can also",0.6434248
QA2022_2025,W4384071683,77,auto,In,medical,settings in particular,In medical settings in particular,0.7078512
QA2022_2025,W4384071683,78,auto,Instead,",",we may want,"Instead , we may want",0.61953443
QA2022_2025,W4384071683,79,auto,One,solution,is therefore for,One solution is therefore for,0.6956991
QA2022_2025,W4384071683,80,auto,Although,uncertainty,measures over LLM,Although uncertainty measures over LLM,0.753257
QA2022_2025,W4384071683,81,auto,We,randomly,selected 100 questions,We randomly selected 100 questions,0.6717969
QA2022_2025,W4384071683,82,auto,These,questions,reflect real -,These questions reflect real -,0.63281476
QA2022_2025,W4384071683,83,auto,These,selected,questions were disjoint,These selected questions were disjoint,0.632652
QA2022_2025,W4384071683,84,auto,We,asked,a panel of,We asked a panel of,0.63618296
QA2022_2025,W4384071683,85,auto,We,then,produced answers using,We then produced answers using,0.63344115
QA2022_2025,W4384071683,86,auto,A,few,qualitative examples of,A few qualitative examples of,0.73394185
QA2022_2025,W4384071683,87,auto,We,aimed,to understand how,We aimed to understand how,0.6309277
QA2022_2025,W4384071683,88,auto,We,judged,clinicians' answers to,We judged clinicians' answers to,0.69127417
QA2022_2025,W4384071683,89,auto,This,is,not a commonly,This is not a commonly,0.6456862
QA2022_2025,W4384071683,90,auto,Comprehension,",",retrieval and reasoning,"Comprehension , retrieval and reasoning",0.5578206
QA2022_2025,W4384071683,91,auto,We,sought,to understand the,We sought to understand the,0.66937923
QA2022_2025,W4384071683,92,auto,We,asked,a panel of,We asked a panel of,0.63618296
QA2022_2025,W4384071683,93,auto,We,observe,that if we,We observe that if we,0.7175043
QA2022_2025,W4384071683,94,auto,Article,prompt,tuning for Med,Article prompt tuning for Med,0.8052931
QA2022_2025,W4384071683,95,auto,The,goal,of this evaluation,The goal of this evaluation,0.71494
QA2022_2025,W4384071683,96,auto,Where,there,was deemed to,Where there was deemed to,0.6893985
QA2022_2025,W4384071683,97,auto,Fig.,4,| Clinician evaluation,Fig. 4 | Clinician evaluation,0.60537374
QA2022_2025,W4384071683,98,auto,a-f,",",Clinicians were asked,"a-f , Clinicians were asked",0.6213992
QA2022_2025,W4384071683,99,auto,We,compare,answers from Flan,We compare answers from Flan,0.69051445
QA2022_2025,W4384071683,100,auto,Across,all,"axes , answers","Across all axes , answers",0.64173985
QA2022_2025,W4384071683,101,auto,Med,-,PaLM answers were,Med - PaLM answers were,0.6794381
QA2022_2025,W4384071683,102,auto,The,evaluation,involves 140 questions,The evaluation involves 140 questions,0.7671398
QA2022_2025,W4384071683,103,auto,We,used,the non-parametric bootstrap,We used the non-parametric bootstrap,0.5895934
QA2022_2025,W4384071683,104,auto,We,used,the 95 %,We used the 95 %,0.6509176
QA2022_2025,W4384071683,105,auto,Detailed,results,with intervals are,Detailed results with intervals are,0.51850235
QA2022_2025,W4384071683,106,auto,by,a,single clinician .,by a single clinician .,0.63328534
QA2022_2025,W4384071683,107,auto,We,used,the non-parametric bootstrap,We used the non-parametric bootstrap,0.5895934
QA2022_2025,W4384071683,108,auto,We,used,the 95 %,We used the 95 %,0.6509176
