node_id,node_type,title,year,domain,split,openalex_id
NOVEL_DIA_0,Paper,MRF-Chat Improving Dialogue with Markov Random Fields,2021.0,DIA,NOVEL,https://openalex.org/W3214342458
NOVEL_DIA_1,Paper,Towards Making the Most of Dialogue Characteristics for Neural Chat Translation,2021.0,DIA,NOVEL,https://openalex.org/W3196896228
NOVEL_DIA_2,Paper,Domain-Adaptive Pretraining Methods for Dialogue Understanding,2021.0,DIA,NOVEL,https://openalex.org/W3173606101
NOVEL_DIA_3,Paper,Adaptive Bridge between Training and Inference for Dialogue Generation,2021.0,DIA,NOVEL,https://openalex.org/W3214623240
NOVEL_DIA_4,Paper,Controlling Dialogue Generation with Semantic Exemplars,2021.0,DIA,NOVEL,https://openalex.org/W3074476581
NOVEL_DIA_5,Paper,Proxy Indicators for the Quality of Open-domain Dialogues,2021.0,DIA,NOVEL,https://openalex.org/W3212156931
NOVEL_DIA_6,Paper,Cross-lingual Intermediate Fine-tuning improves Dialogue State Tracking,2021.0,DIA,NOVEL,https://openalex.org/W3202597539
NOVEL_DIA_8,Paper,"Continual Learning for Task-oriented Dialogue System with Iterative Network Pruning, Expanding and Masking",2021.0,DIA,NOVEL,https://openalex.org/W3175994953
NOVEL_DIA_10,Paper,Transferable Persona-Grounded Dialogues via Grounded Minimal Edits,2021.0,DIA,NOVEL,https://openalex.org/W3200036871
NOVEL_DIA_11,Paper,Bot-Adversarial Dialogue for Safe Conversational Agents,2021.0,DIA,NOVEL,https://openalex.org/W3171850892
NOVEL_DIA_12,Paper,Different Strokes for Different Folks Investigating Appropriate Further Pre-training Approaches for Diverse Dialogue Tasks,2021.0,DIA,NOVEL,https://openalex.org/W3200506654
NOVEL_DIA_13,Paper,Reference-Centric Models for Grounded Collaborative Dialogue,2021.0,DIA,NOVEL,https://openalex.org/W3201144093
NOVEL_DIA_14,Paper,RAST Domain-Robust Dialogue Rewriting as Sequence Tagging,2021.0,DIA,NOVEL,https://openalex.org/W3212307878
NOVEL_DIA_16,Paper,"“Nice Try, Kiddo” Investigating Ad Hominems in Dialogue Responses",2021.0,DIA,NOVEL,https://openalex.org/W3166704354
NOVEL_DIA_17,Paper,A Three-Stage Learning Framework for Low-Resource Knowledge-Grounded Dialogue Generation,2021.0,DIA,NOVEL,https://openalex.org/W3198455100
NOVEL_DIA_18,Paper,CoLV A Collaborative Latent Variable Model for Knowledge-Grounded Dialogue Generation,2021.0,DIA,NOVEL,https://openalex.org/W3213758350
NOVEL_DIA_20,Paper,A Comparative Study on Schema-Guided Dialogue State Tracking,2021.0,DIA,NOVEL,https://openalex.org/W3158235155
NOVEL_DIA_21,Paper,Simple Conversational Data Augmentation for Semi-supervised Abstractive Dialogue Summarization,2021.0,DIA,NOVEL,https://openalex.org/W3212362289
NOVEL_DIA_22,Paper,"Thinking Clearly, Talking Fast Concept-Guided Non-Autoregressive Generation for Open-Domain Dialogue Systems",2021.0,DIA,NOVEL,https://openalex.org/W3197754599
NOVEL_DIA_23,Paper,Effective Sequence-to-Sequence Dialogue State Tracking,2021.0,DIA,NOVEL,https://openalex.org/W3197133421
NOVEL_DIA_24,Paper,Looking for Confirmations An Effective and Human-Like Visual Dialogue Strategy,2021.0,DIA,NOVEL,https://openalex.org/W3200001502
NOVEL_DIA_25,Paper,Clipping Loops for Sample-Efficient Dialogue Policy Optimisation,2021.0,DIA,NOVEL,https://openalex.org/W3170644973
NOVEL_DIA_26,Paper,Low-Resource Dialogue Summarization with Domain-Agnostic Multi-Source Pretraining,2021.0,DIA,NOVEL,https://openalex.org/W3196326437
NOVEL_DIA_28,Paper,Zero-Shot Dialogue State Tracking via Cross-Task Transfer,2021.0,DIA,NOVEL,https://openalex.org/W3200546165
NOVEL_DIA_29,Paper,Just Say No Analyzing the Stance of Neural Dialogue Generation in Offensive Contexts,2021.0,DIA,NOVEL,https://openalex.org/W3194113117
NOVEL_DIA_30,Paper,CSDS A Fine-Grained Chinese Dataset for Customer Service Dialogue Summarization,2021.0,DIA,NOVEL,https://openalex.org/W3198548340
NOVEL_DIA_31,Paper,DIALKI Knowledge Identification in Conversational Systems through Dialogue-Document Contextualization,2021.0,DIA,NOVEL,https://openalex.org/W3199691415
NOVEL_DIA_33,Paper,Uncertainty Measures in Neural Belief Tracking and the Effects on Dialogue Policy Performance,2021.0,DIA,NOVEL,https://openalex.org/W3196636639
NOVEL_DIA_34,Paper,Learning Neural Templates for Recommender Dialogue System,2021.0,DIA,NOVEL,https://openalex.org/W3204697369
NOVEL_DIA_35,Paper,Fine-grained Post-training for Improving Retrieval-based Dialogue Systems,2021.0,DIA,NOVEL,https://openalex.org/W3171266972
NOVEL_DIA_37,Paper,Graph Based Network with Contextualized Representations of Turns in Dialogue,2021.0,DIA,NOVEL,https://openalex.org/W3196292458
NOVEL_DIA_39,Paper,Exophoric Pronoun Resolution in Dialogues with Topic Regularization,2021.0,DIA,NOVEL,https://openalex.org/W3201091014
NOVEL_DIA_40,Paper,Zero-Shot Dialogue Disentanglement by Self-Supervised Entangled Response Selection,2021.0,DIA,NOVEL,https://openalex.org/W3209879382
NOVEL_DIA_41,Paper,"Preview, Attend and Review Schema-Aware Curriculum Learning for Multi-Domain Dialogue State Tracking",2021.0,DIA,NOVEL,https://openalex.org/W3173691672
NOVEL_DIA_42,Paper,A Simple and Efficient Multi-Task Learning Approach for Conditioned Dialogue Generation,2021.0,DIA,NOVEL,https://openalex.org/W3170012708
NOVEL_DIA_43,Paper,Controllable Neural Dialogue Summarization with Personal Named Entity Planning,2021.0,DIA,NOVEL,https://openalex.org/W3204515301
NOVEL_DIA_44,Paper,Dialogue State Tracking with a Language Model using Schema-Driven Prompting,2021.0,DIA,NOVEL,https://openalex.org/W3200895474
NOVEL_DIA_45,Paper,Neural Path Hunter Reducing Hallucination in Dialogue Systems via Path Grounding,2021.0,DIA,NOVEL,https://openalex.org/W3153046263
NOVEL_DIA_47,Paper,Spoken Language Understanding for Task-oriented Dialogue Systems with Augmented Memory Networks,2021.0,DIA,NOVEL,https://openalex.org/W3171708917
NOVEL_DIA_49,Paper,Efficient Dialogue Complementary Policy Learning via Deep Q-network Policy and Episodic Memory Policy,2021.0,DIA,NOVEL,https://openalex.org/W3212099586
NOVEL_DIA_50,Paper,Contextualize Knowledge Bases with Transformer for End-to-end Task-Oriented Dialogue Systems,2021.0,DIA,NOVEL,https://openalex.org/W3094083263
NOVEL_DIA_51,Paper,Adding Chit-Chat to Enhance Task-Oriented Dialogues,2021.0,DIA,NOVEL,https://openalex.org/W3166143260
NOVEL_DIA_52,Paper,GOLD Improving Out-of-Scope Detection in Dialogues using Data Augmentation,2021.0,DIA,NOVEL,https://openalex.org/W3196675050
NOVEL_DIA_53,Paper,More is Better Enhancing Open-Domain Dialogue Generation via Multi-Source Heterogeneous Knowledge,2021.0,DIA,NOVEL,https://openalex.org/W3212092284
NOVEL_DIA_54,Paper,Knowledge-Aware Graph-Enhanced GPT-2 for Dialogue State Tracking,2021.0,DIA,NOVEL,https://openalex.org/W3153659051
NOVEL_DIA_55,Paper,Contextual Rephrase Detection for Reducing Friction in Dialogue Systems,2021.0,DIA,NOVEL,https://openalex.org/W3201234832
NOVEL_DIA_56,Paper,MediaSum A Large-scale Media Interview Dataset for Dialogue Summarization,2021.0,DIA,NOVEL,https://openalex.org/W3169942382
NOVEL_DIA_59,Paper,Leveraging Slot Descriptions for Zero-Shot Cross-Domain Dialogue StateTracking,2021.0,DIA,NOVEL,https://openalex.org/W3168491067
NOVEL_DIA_63,Paper,Knowledge Enhanced Fine-Tuning for Better Handling Unseen Entities in Dialogue Generation,2021.0,DIA,NOVEL,https://openalex.org/W3213435953
NOVEL_DIA_65,Paper,Domain-Lifelong Learning for Dialogue State Tracking via Knowledge Preservation Networks,2021.0,DIA,NOVEL,https://openalex.org/W3214501429
NOVEL_DIA_66,Paper,CREAD Combined Resolution of Ellipses and Anaphora in Dialogues,2021.0,DIA,NOVEL,https://openalex.org/W3163744364
NOVEL_DIA_67,Paper,Multi-Modal Open-Domain Dialogue,2021.0,DIA,NOVEL,https://openalex.org/W3090998540
NOVEL_DIA_68,Paper,DialogueCSE Dialogue-based Contrastive Learning of Sentence Embeddings,2021.0,DIA,NOVEL,https://openalex.org/W3202125623
NOVEL_DIA_69,Paper,Generation and Extraction Combined Dialogue State Tracking with Hierarchical Ontology Integration,2021.0,DIA,NOVEL,https://openalex.org/W3213972251
NOVEL_DIA_70,Paper,NDH-Full Learning and Evaluating Navigational Agents on Full-Length Dialogue,2021.0,DIA,NOVEL,https://openalex.org/W3211887611
NOVEL_DIA_71,Paper,Intention Reasoning Network for Multi-Domain End-to-end Task-Oriented Dialogue,2021.0,DIA,NOVEL,https://openalex.org/W3213852610
SKG_DIA_0,Paper,Are Training Samples Correlated Learning to Generate Dialogue Responses with Multiple References,2019.0,DIA,SKG,https://openalex.org/W2949782788
SKG_DIA_2,Paper,doc2dial A Goal-Oriented Document-Grounded Dialogue Dataset,2020.0,DIA,SKG,https://openalex.org/W3099590177
SKG_DIA_3,Paper,Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks,2020.0,DIA,SKG,https://openalex.org/W3025611493
SKG_DIA_4,Paper,Memory Consolidation for Contextual Spoken Language Understanding with Dialogue Logistic Inference,2019.0,DIA,SKG,https://openalex.org/W2963594470
SKG_DIA_6,Paper,Toward Dialogue Modeling A Semantic Annotation Scheme for Questions and Answers,2019.0,DIA,SKG,https://openalex.org/W2966371977
SKG_DIA_7,Paper,AirConcierge Generating Task-Oriented Dialogue via Efficient Large-Scale Knowledge Retrieval,2020.0,DIA,SKG,https://openalex.org/W3100963818
SKG_DIA_8,Paper,Training Neural Response Selection for Task-Oriented Dialogue Systems,2019.0,DIA,SKG,https://openalex.org/W2952267213
SKG_DIA_9,Paper,Auto-Dialabel Labeling Dialogue Data with Unsupervised Learning,2018.0,DIA,SKG,https://openalex.org/W2889636191
SKG_DIA_10,Paper,Multi-View Sequence-to-Sequence Models with Conversational Structure for Abstractive Dialogue Summarization,2020.0,DIA,SKG,https://openalex.org/W3104257895
SKG_DIA_11,Paper,Multi-Turn Dialogue Generation in E-Commerce Platform with the Context of Historical Dialogue,2020.0,DIA,SKG,https://openalex.org/W3099382298
SKG_DIA_12,Paper,A Compare Aggregate Transformer for Understanding Document-grounded Dialogue,2020.0,DIA,SKG,https://openalex.org/W3098595900
SKG_DIA_13,Paper,Dr. Summarize Global Summarization of Medical Dialogue by Exploiting Local Structures.,2020.0,DIA,SKG,https://openalex.org/W3087025499
SKG_DIA_14,Paper,Spot The Bot A Robust and Efficient Framework for the Evaluation of Conversational Dialogue Systems,2020.0,DIA,SKG,https://openalex.org/W3092342765
SKG_DIA_15,Paper,On-line Active Reward Learning for Policy Optimisation in Spoken Dialogue Systems,2016.0,DIA,SKG,https://openalex.org/W2963064439
SKG_DIA_16,Paper,Learning Efficient Dialogue Policy from Demonstrations through Shaping,2020.0,DIA,SKG,https://openalex.org/W3034330559
SKG_DIA_17,Paper,Counterfactual Off-Policy Training for Neural Dialogue Generation,2020.0,DIA,SKG,https://openalex.org/W3103857453
SKG_DIA_18,Paper,You Impress Me Dialogue Generation via Mutual Persona Perception,2020.0,DIA,SKG,https://openalex.org/W3035044096
SKG_DIA_21,Paper,Deep Active Learning for Dialogue Generation,2017.0,DIA,SKG,https://openalex.org/W2964133280
SKG_DIA_22,Paper,Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,2020.0,DIA,SKG,https://openalex.org/W3034930293
SKG_DIA_23,Paper,Evaluating and Enhancing the Robustness of Dialogue Systems A Case Study on a Negotiation Agent,2019.0,DIA,SKG,https://openalex.org/W2926587947
SKG_DIA_24,Paper,PyDial A Multi-domain Statistical Dialogue System Toolkit,2017.0,DIA,SKG,https://openalex.org/W2739936944
SKG_DIA_25,Paper,A Hierarchical Neural Model for Learning Sequences of Dialogue Acts,2017.0,DIA,SKG,https://openalex.org/W2741675028
SKG_DIA_27,Paper,Dialogue Natural Language Inference,2019.0,DIA,SKG,https://openalex.org/W2962989446
SKG_DIA_29,Paper,Will I Sound Like Me Improving Persona Consistency in Dialogues through Pragmatic Self-Consciousness,2020.0,DIA,SKG,https://openalex.org/W3106007100
SKG_DIA_30,Paper,Entity-Consistent End-to-end Task-Oriented Dialogue System with KB Retriever,2019.0,DIA,SKG,https://openalex.org/W2970260827
