topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
Sum,W2136893259,0,auto,Research,Methods,: Quantitative and,Research Methods : Quantitative and,0.49286705,2023
Sum,W2136893259,1,auto,It,is,common that someone,It is common that someone,0.69518673,2023
Sum,W2136893259,2,auto,Such,questions,include issues related,Such questions include issues related,0.649181,2023
Sum,W2136893259,3,auto,After,experiencing,such an eye,After experiencing such an eye,0.703894,2023
Sum,W2136893259,4,auto,From,there,"onwards , different","From there onwards , different",0.76303077,2023
Sum,W2136893259,5,auto,The,research,design typically includes,The research design typically includes,0.6683605,2023
Sum,W2136893259,6,auto,In,a,large number of,In a large number of,0.71578276,2023
Sum,W2136893259,7,auto,Such,data,collection tools include,Such data collection tools include,0.61078435,2023
Sum,W2136893259,8,auto,The,rules,and norms of,The rules and norms of,0.7065369,2023
Sum,W2136893259,9,auto,We,will,limit our discussions,We will limit our discussions,0.5842586,2023
Sum,W2136893259,10,auto,As,we,"said before ,","As we said before ,",0.69185406,2023
Sum,W2136893259,11,auto,There,are,", of course","There are , of course",0.61460114,2023
Sum,W2136893259,12,auto,Studies,also,include multimodal aspects,Studies also include multimodal aspects,0.6155887,2023
Sum,W2136893259,13,auto,h,methods,is often made,h methods is often made,0.41132107,2023
Sum,W2136893259,14,auto,The,two,approaches can be,The two approaches can be,0.7163269,2023
Sum,W2136893259,15,auto,On,the,"one hand ,","On the one hand ,",0.70925266,2023
Sum,W2136893259,16,auto,Generalization,and,replication are seen,Generalization and replication are seen,0.6586321,2023
Sum,W2136893259,17,auto,On,the,"other hand ,","On the other hand ,",0.7390997,2023
Sum,W2136893259,18,auto,Formulated,in,"this way ,","Formulated in this way ,",0.5739323,2023
Sum,W2136893259,19,auto,In,our,"opinion , both","In our opinion , both",0.70952576,2023
Sum,W2136893259,20,auto,In,a,"quantitative investigation ,","In a quantitative investigation ,",0.65977204,2023
Sum,W2136893259,21,auto,A,sample,can vary according,A sample can vary according,0.7000001,2023
Sum,W2136893259,22,auto,The,analysis,typically focuses on,The analysis typically focuses on,0.7138822,2023
Sum,W2136893259,23,auto,Alternatively,",",researchers can investigate,"Alternatively , researchers can investigate",0.59977436,2023
Sum,W2136893259,24,auto,In,this,type of project,In this type of project,0.68720734,2023
Sum,W2136893259,25,auto,However,",",presenting quantitative distributions,"However , presenting quantitative distributions",0.5930663,2023
Sum,W2136893259,26,auto,A,detailed,analysis of a,A detailed analysis of a,0.71790636,2023
Sum,W2136893259,27,auto,In,contrast,", a qualitative","In contrast , a qualitative",0.67661995,2023
Sum,W2136893259,28,auto,Qualitative,studies,often try to,Qualitative studies often try to,0.57095605,2023
Sum,W2136893259,29,auto,The,methodology,can include (,The methodology can include (,0.5559212,2023
Sum,W2136893259,30,auto,The,conclusions,are often more,The conclusions are often more,0.6452807,2023
Sum,W2136893259,31,auto,Of,course,", a qualitative","Of course , a qualitative",0.7730596,2023
Sum,W2136893259,32,auto,Both,quantitative,and qualitative,Both quantitative and qualitative,0.82660097,2023
Sum,W2136893259,33,auto,approaches,have,proved fruitful in,approaches have proved fruitful in,0.5892134,2023
Sum,W2136893259,34,auto,Some,researchers,have chosen to,Some researchers have chosen to,0.5530171,2023
Sum,W2136893259,35,auto,However,",",sometimes it is,"However , sometimes it is",0.6539101,2023
Sum,W2136893259,36,auto,After,these,general introductory remarks,After these general introductory remarks,0.5786167,2023
Sum,W2136893259,37,auto,Thereafter,",",we reflect on,"Thereafter , we reflect on",0.6298503,2023
Sum,W2136893259,38,auto,Finally,",",we draw some,"Finally , we draw some",0.5925876,2023
Sum,W2136893259,39,auto,In,Chapter,"5 , we","In Chapter 5 , we",0.51857424,2023
Sum,W2136893259,40,auto,Those,methods,may be less,Those methods may be less,0.43858886,2023
Sum,W2136893259,41,auto,Quantitative,Approaches,"Superficially , the","Quantitative Approaches Superficially , the",0.71564895,2023
Sum,W2136893259,42,auto,To,begin,"with , it","To begin with , it",0.6408686,2023
Sum,W2136893259,43,auto,Further,",",drawing a sample,"Further , drawing a sample",0.5821358,2023
Sum,W2136893259,44,auto,We,discuss,these two issues,We discuss these two issues,0.679595,2023
