topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights
SA2022_2025,W4213436352,0,auto,Morbidity,and,Mortality Weekly Report,Morbidity and Mortality Weekly Report,
SA2022_2025,W4213436352,1,auto,GROBID,-,A machine learning,GROBID - A machine learning,
SA2022_2025,W4213436352,2,auto,Previous,research,has documented that,Previous research has documented that,
SA2022_2025,W4213436352,3,auto,Public,health,surveillance of children's,Public health surveillance of children's,
SA2022_2025,W4213436352,4,auto,Numerous,federal,data systems collect,Numerous federal data systems collect,
SA2022_2025,W4213436352,5,auto,The,2013,- 2019 data,The 2013 - 2019 data,
SA2022_2025,W4213436352,6,auto,During,this,"period , the","During this period , the",
SA2022_2025,W4213436352,7,auto,Among,children,and adolescents aged,Among children and adolescents aged,
SA2022_2025,W4213436352,8,auto,Among,high,school students in,Among high school students in,
SA2022_2025,W4213436352,9,auto,Approximately,seven,"in 100,000 persons","Approximately seven in 100,000 persons",
SA2022_2025,W4213436352,10,auto,Among,children,and adolescents aged,Among children and adolescents aged,
SA2022_2025,W4213436352,11,auto,Approximately,one,in four children,Approximately one in four children,
SA2022_2025,W4213436352,12,auto,In,federal,"data systems ,","In federal data systems ,",
SA2022_2025,W4213436352,13,auto,Although,no,comprehensive surveillance system,Although no comprehensive surveillance system,
SA2022_2025,W4213436352,14,auto,These,findings,can be used,These findings can be used,
SA2022_2025,W4213436352,15,auto,Introduction,Mental,health is a,Introduction Mental health is a,
SA2022_2025,W4213436352,16,auto,Mental,health,", like physical","Mental health , like physical",
SA2022_2025,W4213436352,17,auto,In,addition,to increased attention,In addition to increased attention,
SA2022_2025,W4213436352,18,auto,The,ADDM,Network is an,The ADDM Network is an,
SA2022_2025,W4213436352,19,auto,The,ADDM,Network has reported,The ADDM Network has reported,
SA2022_2025,W4213436352,20,auto,The,most,recent data at,The most recent data at,
SA2022_2025,W4213436352,21,auto,Surveillance,is,conducted in two,Surveillance is conducted in two,
SA2022_2025,W4213436352,22,auto,The,first,phase involves review,The first phase involves review,
SA2022_2025,W4213436352,23,auto,In,the,"second phase ,","In the second phase ,",
SA2022_2025,W4213436352,24,auto,The,case,definition is based,The case definition is based,
SA2022_2025,W4213436352,25,auto,Although,The,results presented in,Although The results presented in,
SA2022_2025,W4213436352,26,auto,Among,"275,409",children aged 8,"Among 275,409 children aged 8",
SA2022_2025,W4213436352,27,auto,For,other,mental health indicators,For other mental health indicators,
SA2022_2025,W4213436352,28,auto,National,Health,and Nutrition Examination,National Health and Nutrition Examination,
SA2022_2025,W4213436352,29,auto,NHANES,uses,a multistage probability,NHANES uses a multistage probability,
SA2022_2025,W4213436352,30,auto,Since,2011,", NHANES has","Since 2011 , NHANES has",
SA2022_2025,W4213436352,31,auto,Data,are,collected through examination,Data are collected through examination,
SA2022_2025,W4213436352,32,auto,Health,indicators,have included cardiovascular,Health indicators have included cardiovascular,
SA2022_2025,W4213436352,33,auto,Since,the,2005 - 2006,Since the 2005 - 2006,
SA2022_2025,W4213436352,34,auto,NHIS,is,an in -,NHIS is an in -,
SA2022_2025,W4213436352,35,auto,For,interviews,completed during 1997,For interviews completed during 1997,
SA2022_2025,W4213436352,36,auto,From,each,family in the,From each family in the,
SA2022_2025,W4213436352,37,auto,A,parent,answered questions for,A parent answered questions for,
SA2022_2025,W4213436352,38,auto,NHIS,data,are publicly available,NHIS data are publicly available,
SA2022_2025,W4213436352,39,auto,Data,included,in this report,Data included in this report,
SA2022_2025,W4213436352,40,auto,The,total,household response rate,The total household response rate,
SA2022_2025,W4213436352,41,auto,NHIS,has,included questions on,NHIS has included questions on,
SA2022_2025,W4213436352,42,auto,For,ADHD,", parents were","For ADHD , parents were",
SA2022_2025,W4213436352,43,auto,Since,2014,", the ASD","Since 2014 , the ASD",
SA2022_2025,W4213436352,44,auto,Beginning,in,"2016 , follow","Beginning in 2016 , follow",
SA2022_2025,W4213436352,45,auto,To,assess,use of mental,To assess use of mental,
SA2022_2025,W4213436352,46,auto,A,mental,health professional such,A mental health professional such,
SA2022_2025,W4213436352,47,auto,In,addition,", for those","In addition , for those",
SA2022_2025,W4213436352,48,auto,The,denominator,included all children,The denominator included all children,
SA2022_2025,W4213436352,49,auto,National,Survey,of Children's Health,National Survey of Children's Health,
SA2022_2025,W4213436352,50,auto,NSCH,is,funded and directed,NSCH is funded and directed,
SA2022_2025,W4213436352,51,auto,Data,are,collected from a,Data are collected from a,
SA2022_2025,W4213436352,52,auto,Data,provide,both national and,Data provide both national and,
SA2022_2025,W4213436352,53,auto,The,data,are subject to,The data are subject to,
SA2022_2025,W4213436352,54,auto,Additional,general,information is available,Additional general information is available,
SA2022_2025,W4213436352,55,auto,NSCH,was,redesigned for 2016,NSCH was redesigned for 2016,
SA2022_2025,W4213436352,56,auto,Conducted,by,the federal government,Conducted by the federal government,
SA2022_2025,W4213436352,57,auto,For,the,"years analyzed ,","For the years analyzed ,",
SA2022_2025,W4213436352,58,auto,NSDUH,collects,data using audio,NSDUH collects data using audio,
SA2022_2025,W4213436352,59,auto,NSDUH,is,a state and,NSDUH is a state and,
SA2022_2025,W4213436352,60,auto,Adolescents,and,young adults are,Adolescents and young adults are,
SA2022_2025,W4213436352,61,auto,Additional,general,information about NSDUH,Additional general information about NSDUH,
SA2022_2025,W4213436352,62,auto,In,2018,", screening was","In 2018 , screening was",
SA2022_2025,W4213436352,63,auto,The,weighted,response rates were,The weighted response rates were,
SA2022_2025,W4213436352,64,auto,In,the,2018 and 2019,In the 2018 and 2019,
SA2022_2025,W4213436352,65,auto,NSDUH,also,used DSM -,NSDUH also used DSM -,
SA2022_2025,W4213436352,66,auto,The,2018,and 2019 NSDUH,The 2018 and 2019 NSDUH,
SA2022_2025,W4213436352,67,auto,In,addition,to asking about,In addition to asking about,
SA2022_2025,W4213436352,68,auto,The,NSDUH,interview section on,The NSDUH interview section on,
SA2022_2025,W4213436352,69,auto,Specialty,mental,health settings include,Specialty mental health settings include,
SA2022_2025,W4213436352,70,auto,Outpatient,services,include 1 ),Outpatient services include 1 ),
SA2022_2025,W4213436352,71,auto,Inpatient,or,residential specialty mental,Inpatient or residential specialty mental,
SA2022_2025,W4213436352,72,auto,Nonspecialty,mental,health settings for,Nonspecialty mental health settings for,
SA2022_2025,W4213436352,73,auto,National,Violent,Death Reporting System,National Violent Death Reporting System,
SA2022_2025,W4213436352,74,auto,For,the,purposes of NVDRS,For the purposes of NVDRS,
SA2022_2025,W4213436352,75,auto,Violent,deaths,include child maltreatment,Violent deaths include child maltreatment,
SA2022_2025,W4213436352,76,auto,Seven,additional,states began data,Seven additional states began data,
SA2022_2025,W4213436352,77,auto,Eight,additional,states ( Alabama,Eight additional states ( Alabama,
SA2022_2025,W4213436352,78,auto,California,began,collecting data in,California began collecting data in,
SA2022_2025,W4213436352,79,auto,NVDRS,received,funding in 2018,NVDRS received funding in 2018,
SA2022_2025,W4213436352,80,auto,CDC,now,provides NVDRS funding,CDC now provides NVDRS funding,
SA2022_2025,W4213436352,81,auto,Individual,-,level data include,Individual - level data include,
SA2022_2025,W4213436352,82,auto,Numerous,types,of circumstance data,Numerous types of circumstance data,
SA2022_2025,W4213436352,83,auto,Short,narratives,are also written,Short narratives are also written,
SA2022_2025,W4213436352,84,auto,Aggregate,counts,", percentages ,","Aggregate counts , percentages ,",
SA2022_2025,W4213436352,85,auto,Because,no,sampling is involved,Because no sampling is involved,
SA2022_2025,W4213436352,86,auto,Data,for,persons aged 10,Data for persons aged 10,
SA2022_2025,W4213436352,87,auto,NVDRS,data,are publicly accessible,NVDRS data are publicly accessible,
SA2022_2025,W4213436352,88,auto,The,data,are used to,The data are used to,
SA2022_2025,W4213436352,89,auto,The,NVSS,mortality data include,The NVSS mortality data include,
SA2022_2025,W4213436352,90,auto,Mortality,data,are collected from,Mortality data are collected from,
SA2022_2025,W4213436352,91,auto,National,data,for vital statistics,National data for vital statistics,
SA2022_2025,W4213436352,92,auto,Information,on,"demographics , geographic","Information on demographics , geographic",
SA2022_2025,W4213436352,93,auto,State,-,and county -,State - and county -,
SA2022_2025,W4213436352,94,auto,Causes,of,"death , including","Causes of death , including",
SA2022_2025,W4213436352,95,auto,Data,are,available in various,Data are available in various,
SA2022_2025,W4213436352,96,auto,Data,for,persons aged 10,Data for persons aged 10,
SA2022_2025,W4213436352,97,auto,School,-,Associated Violent Death,School - Associated Violent Death,
SA2022_2025,W4213436352,98,auto,Data,on,schoolassociated violent deaths,Data on schoolassociated violent deaths,
SA2022_2025,W4213436352,99,auto,Incidents,are,identified through a,Incidents are identified through a,
SA2022_2025,W4213436352,100,auto,SAVD,-,SS cases include,SAVD - SS cases include,
SA2022_2025,W4213436352,101,auto,Identified,incidents,are confirmed with,Identified incidents are confirmed with,
SA2022_2025,W4213436352,102,auto,Incident,",","victim , and","Incident , victim , and",
SA2022_2025,W4213436352,103,auto,SAVD,-,SS also collects,SAVD - SS also collects,
SA2022_2025,W4213436352,104,auto,Because,SAVDs,are relatively rare,Because SAVDs are relatively rare,
SA2022_2025,W4213436352,105,auto,Additional,information,about SAVD -,Additional information about SAVD -,
SA2022_2025,W4213436352,106,auto,This,report,provides data on,This report provides data on,
SA2022_2025,W4213436352,107,auto,Beginning,in,"January 2021 ,","Beginning in January 2021 ,",
SA2022_2025,W4213436352,108,auto,National,Youth,Risk Behavior Survey,National Youth Risk Behavior Survey,
SA2022_2025,W4213436352,109,auto,The,system,includes a national,The system includes a national,
SA2022_2025,W4213436352,110,auto,National,YRBS,data and data,National YRBS data and data,
SA2022_2025,W4213436352,111,auto,Since,1991,", the national","Since 1991 , the national",
SA2022_2025,W4213436352,112,auto,Student,participation,in the YRBS,Student participation in the YRBS,
SA2022_2025,W4213436352,113,auto,Survey,participants,complete a self,Survey participants complete a self,
SA2022_2025,W4213436352,114,auto,In,2019,", the number","In 2019 , the number",
SA2022_2025,W4213436352,115,auto,Indicators,of,mental health included,Indicators of mental health included,
SA2022_2025,W4213436352,116,auto,To,assess,persistent feelings of,To assess persistent feelings of,
SA2022_2025,W4213436352,117,auto,To,assess,suicidal ideation and,To assess suicidal ideation and,
SA2022_2025,W4213436352,118,auto,Although,not,included in this,Although not included in this,
SA2022_2025,W4213436352,119,auto,These,data,and the prevalence,These data and the prevalence,
SA2022_2025,W4213436352,120,auto,Analysis,Similar,indicators from different,Analysis Similar indicators from different,
SA2022_2025,W4213436352,121,auto,State,prevalence,estimates and rates,State prevalence estimates and rates,
SA2022_2025,W4213436352,122,auto,Overall,prevalence,"estimates , including","Overall prevalence estimates , including",
SA2022_2025,W4213436352,123,auto,Similar,to,the estimates of,Similar to the estimates of,
SA2022_2025,W4213436352,124,auto,Black,children,had the highest,Black children had the highest,
SA2022_2025,W4213436352,125,auto,Regarding,socioeconomic,"factors , the","Regarding socioeconomic factors , the",
SA2022_2025,W4213436352,126,auto,The,prevalence,of behavior problems,The prevalence of behavior problems,
SA2022_2025,W4213436352,127,auto,Depression,Depressive,disorder is characterized,Depression Depressive disorder is characterized,
SA2022_2025,W4213436352,128,auto,*,Estimates,exclude other race,* Estimates exclude other race,
SA2022_2025,W4213436352,129,auto,†,FPL,is based on,† FPL is based on,
SA2022_2025,W4213436352,130,auto,Imputed,income,files were used,Imputed income files were used,
SA2022_2025,W4213436352,131,auto,The,highest,level of parent,The highest level of parent,
SA2022_2025,W4213436352,132,auto,¶,among,Hispanic and White,¶ among Hispanic and White,
SA2022_2025,W4213436352,133,auto,YRBS,data,indicated that among,YRBS data indicated that among,
SA2022_2025,W4213436352,134,auto,The,estimated,percentages of AI,The estimated percentages of AI,
SA2022_2025,W4213436352,135,auto,An,association,was found between,An association was found between,
SA2022_2025,W4213436352,136,auto,However,",",NSDUH estimates of,"However , NSDUH estimates of",
SA2022_2025,W4213436352,137,auto,According,to,"NSCH data ,","According to NSCH data ,",
SA2022_2025,W4213436352,138,auto,During,the,past 12 months,During the past 12 months,
SA2022_2025,W4213436352,139,auto,§,For,"YRBS , survey","§ For YRBS , survey",
SA2022_2025,W4213436352,141,auto,Estimates,exclude,other race and,Estimates exclude other race and,
SA2022_2025,W4213436352,142,auto,**,Estimate,did not meet,** Estimate did not meet,
SA2022_2025,W4213436352,143,auto,†,†,"For NSCH ,","† † For NSCH ,",
SA2022_2025,W4213436352,144,auto,Imputed,income,files were used,Imputed income files were used,
SA2022_2025,W4213436352,145,auto,NHANES,uses,the US Department,NHANES uses the US Department,
SA2022_2025,W4213436352,146,auto,NSDUH,only,imputes family size,NSDUH only imputes family size,
SA2022_2025,W4213436352,147,auto,§,§,The highest level,§ § The highest level,
SA2022_2025,W4213436352,148,auto,For,NHANES,", education of","For NHANES , education of",
SA2022_2025,W4213436352,149,auto,Anxiety,Anxiety,disorders are characterized,Anxiety Anxiety disorders are characterized,
SA2022_2025,W4213436352,150,auto,The,prevalence,of ever having,The prevalence of ever having,
SA2022_2025,W4213436352,151,auto,Estimates,of,anxiety for boys,Estimates of anxiety for boys,
SA2022_2025,W4213436352,152,auto,The,highest,prevalence estimates among,The highest prevalence estimates among,
SA2022_2025,W4213436352,153,auto,Although,no,differences in the,Although no differences in the,
SA2022_2025,W4213436352,154,auto,Prevalence,estimates,were highest for,Prevalence estimates were highest for,
SA2022_2025,W4213436352,155,auto,No,differences,were found by,No differences were found by,
SA2022_2025,W4213436352,156,auto,Prevalence,estimates,of anxiety among,Prevalence estimates of anxiety among,
SA2022_2025,W4213436352,157,auto,*,Estimates,exclude other race,* Estimates exclude other race,
SA2022_2025,W4213436352,158,auto,†,FPL,is based on,† FPL is based on,
SA2022_2025,W4213436352,159,auto,Imputed,income,files were used,Imputed income files were used,
SA2022_2025,W4213436352,160,auto,The,highest,level of parent,The highest level of parent,
SA2022_2025,W4213436352,161,auto,¶,and,adolescents aged 3,¶ and adolescents aged 3,
SA2022_2025,W4213436352,162,auto,Autism,Spectrum,Disorder ASD is,Autism Spectrum Disorder ASD is,
SA2022_2025,W4213436352,163,auto,Symptoms,include,difficulties with communication,Symptoms include difficulties with communication,
SA2022_2025,W4213436352,164,auto,Intellectual,ability,can range from,Intellectual ability can range from,
SA2022_2025,W4213436352,165,auto,Although,differences,showed similar patterns,Although differences showed similar patterns,
SA2022_2025,W4213436352,166,auto,The,1.9,% estimate from,The 1.9 % estimate from,
SA2022_2025,W4213436352,167,auto,Across,all,"data sources ,","Across all data sources ,",
SA2022_2025,W4213436352,168,auto,Prevalence,estimates,among different racial,Prevalence estimates among different racial,
SA2022_2025,W4213436352,169,auto,Whereas,the,ADDM data showed,Whereas the ADDM data showed,
SA2022_2025,W4213436352,170,auto,Other,ASD,estimates for children,Other ASD estimates for children,
SA2022_2025,W4213436352,171,auto,Regarding,socioeconomic,"factors , NSCH","Regarding socioeconomic factors , NSCH",
SA2022_2025,W4213436352,172,auto,Parent,education,level and geographic,Parent education level and geographic,
SA2022_2025,W4213436352,173,auto,Tourette,Syndrome,Tourette syndrome is,Tourette Syndrome Tourette syndrome is,
SA2022_2025,W4213436352,174,auto,Other,tic,disorders include persistent,Other tic disorders include persistent,
SA2022_2025,W4213436352,175,auto,Provisional,tic,disorder is used,Provisional tic disorder is used,
SA2022_2025,W4213436352,176,auto,Suicidal,behavior,is a public,Suicidal behavior is a public,
SA2022_2025,W4213436352,177,auto,Data,from,YRBS indicated that,Data from YRBS indicated that,
SA2022_2025,W4213436352,178,auto,The,prevalence,of seriously considering,The prevalence of seriously considering,
SA2022_2025,W4213436352,179,auto,**,Suicides,are identified using,** Suicides are identified using,
SA2022_2025,W4213436352,180,auto,§,§,The overall denominator,§ § The overall denominator,
SA2022_2025,W4213436352,182,auto,Survey,participants,were public and,Survey participants were public and,
SA2022_2025,W4213436352,184,auto,For,YRBS,", only age","For YRBS , only age",
SA2022_2025,W4213436352,185,auto,†,†,† Estimates exclude,† † † Estimates exclude,
SA2022_2025,W4213436352,186,auto,§,§,§ Geographic classification,§ § § Geographic classification,
SA2022_2025,W4213436352,187,auto,The,urban,category includes the,The urban category includes the,
SA2022_2025,W4213436352,188,auto,Geographic,classification,for NVSS was,Geographic classification for NVSS was,
SA2022_2025,W4213436352,189,auto,Counties,were,classified into six,Counties were classified into six,
SA2022_2025,W4213436352,190,auto,The,four,metropolitan categories (,The four metropolitan categories (,
SA2022_2025,W4213436352,191,auto,The,two,nonmetropolitan categories (,The two nonmetropolitan categories (,
SA2022_2025,W4213436352,193,auto,Similarly,",",the estimated percentage,"Similarly , the estimated percentage",
SA2022_2025,W4213436352,194,auto,Both,NVSS,2018 - 2019,Both NVSS 2018 - 2019,
SA2022_2025,W4213436352,195,auto,The,rate,was also higher,The rate was also higher,
SA2022_2025,W4213436352,196,auto,Mental,Health,Services Mental health,Mental Health Services Mental health,
SA2022_2025,W4213436352,197,auto,Options,to,treat mental disorders,Options to treat mental disorders,
SA2022_2025,W4213436352,198,auto,NHIS,data,from 2017 -,NHIS data from 2017 -,
SA2022_2025,W4213436352,199,auto,NSCH,2016,- 2019 estimates,NSCH 2016 - 2019 estimates,
SA2022_2025,W4213436352,200,auto,However,",",NSDUH 2018 -,"However , NSDUH 2018 -",
SA2022_2025,W4213436352,201,auto,Data,from,both NSCH 2016,Data from both NSCH 2016,
SA2022_2025,W4213436352,202,auto,Across,surveys,"( NSCH ,","Across surveys ( NSCH ,",
SA2022_2025,W4213436352,203,auto,NSCH,data,from 2016 -,NSCH data from 2016 -,
SA2022_2025,W4213436352,204,auto,NHANES,:,""" During the","NHANES : "" During the",
SA2022_2025,W4213436352,205,auto,Receipt,of,specialty and nonspecialty,Receipt of specialty and nonspecialty,
SA2022_2025,W4213436352,206,auto,**,"""",During the past,"** "" During the past",
SA2022_2025,W4213436352,207,auto,Use,of,psychotherapeutic agents in,Use of psychotherapeutic agents in,
