topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
NLI,W4224300633,0,auto,Particle,Swarm,Optimization Algorithm and,Particle Swarm Optimization Algorithm and,0.77608234,2022
NLI,W4224300633,1,auto,Faculty,of,Computers and Information,Faculty of Computers and Information,0.56367576,2022
NLI,W4224300633,2,auto,Among,many,"others , Swarm","Among many others , Swarm",0.67965746,2022
NLI,W4224300633,3,auto,One,of,the most popular,One of the most popular,0.5895702,2022
NLI,W4224300633,4,auto,Many,changes,have been made,Many changes have been made,0.7069409,2022
NLI,W4224300633,5,auto,Since,their,learning about the,Since their learning about the,0.7572969,2022
NLI,W4224300633,6,auto,Various,perspectives,are surveyed in,Various perspectives are surveyed in,0.64988995,2022
NLI,W4224300633,7,auto,More,specifically,", this paper","More specifically , this paper",0.72958237,2022
NLI,W4224300633,8,auto,Some,technical,"characteristics , including","Some technical characteristics , including",0.67861503,2022
NLI,W4224300633,9,auto,Each,addressed,study has some,Each addressed study has some,0.60756665,2022
NLI,W4224300633,11,auto,It,has,been proven in,It has been proven in,0.6272847,2022
NLI,W4224300633,12,auto,For,working,out those problems,For working out those problems,0.75779,2022
NLI,W4224300633,14,auto,lly,",",a swarm is,"lly , a swarm is",0.60509574,2022
NLI,W4224300633,15,auto,Swarm,-,based techniques have,Swarm - based techniques have,0.6107534,2022
NLI,W4224300633,16,auto,The,local,optima issue in,The local optima issue in,0.7273942,2022
NLI,W4224300633,17,auto,For,example,", some of","For example , some of",0.6885912,2022
NLI,W4224300633,18,auto,Other,researchers,have taken on,Other researchers have taken on,0.62191033,2022
NLI,W4224300633,19,auto,Consequently,",",hybrid versions of,"Consequently , hybrid versions of",0.6263215,2022
NLI,W4224300633,20,auto,To,this,"point , the","To this point , the",0.85202765,2022
NLI,W4224300633,21,auto,However,",",few review papers,"However , few review papers",0.59341854,2022
NLI,W4224300633,22,auto,The,structure,of this study,The structure of this study,0.7212483,2022
NLI,W4224300633,23,auto,Section,2,presents the related,Section 2 presents the related,0.6330968,2022
NLI,W4224300633,24,auto,A,brief,foundation of the,A brief foundation of the,0.6715629,2022
NLI,W4224300633,25,auto,3,.,Section 4 exploits,3 . Section 4 exploits,0.6178524,2022
NLI,W4224300633,26,auto,Section,5,demonstrates the various,Section 5 demonstrates the various,0.6389328,2022
NLI,W4224300633,27,auto,Section,6,systematically outlines and,Section 6 systematically outlines and,0.57767326,2022
NLI,W4224300633,28,auto,Also,",",a technical classification,"Also , a technical classification",0.6099074,2022
NLI,W4224300633,29,auto,Section,7,provides a discussion,Section 7 provides a discussion,0.6293331,2022
NLI,W4224300633,30,auto,Finally,",",Sect. 9 concludes,"Finally , Sect. 9 concludes",0.6374395,2022
NLI,W4224300633,31,auto,Related,Work,A swift explanation,Related Work A swift explanation,0.6508431,2022
NLI,W4224300633,32,auto,Poli,et,al . [,Poli et al . [,0.59389037,2022
NLI,W4224300633,33,auto,Banks,et,al. [ 13,Banks et al. [ 13,0.6073327,2022
NLI,W4224300633,34,auto,Imran,et,al . [,Imran et al . [,0.5450018,2022
NLI,W4224300633,35,auto,Alam,et,al . [,Alam et al . [,0.54717606,2022
NLI,W4224300633,36,auto,Wang,et,al . [,Wang et al . [,0.5507372,2022
NLI,W4224300633,37,auto,Summarizing,",",Table 1 •,"Summarizing , Table 1 •",0.62488115,2022
NLI,W4224300633,38,auto,•,Important,assessment factors are,• Important assessment factors are,0.7187978,2022
NLI,W4224300633,39,auto,The,systematic,arrangement is typically,The systematic arrangement is typically,0.70307124,2022
NLI,W4224300633,40,auto,3,Particle,Swarm Optimization :,3 Particle Swarm Optimization :,0.70416546,2022
NLI,W4224300633,41,auto,",",namely,", self -",", namely , self -",0.78099054,2022
NLI,W4224300633,42,auto,This,process,is characterized by,This process is characterized by,0.6596043,2022
NLI,W4224300633,43,auto,The,self,- organization in,The self - organization in,0.74878263,2022
NLI,W4224300633,45,auto,Trade,-,off between exploration,Trade - off between exploration,0.5884994,2022
NLI,W4224300633,46,auto,•,Multiple,interactions Information coming,• Multiple interactions Information coming,0.7313676,2022
NLI,W4224300633,47,auto,To,get,the optimum solution,To get the optimum solution,0.58395934,2022
NLI,W4224300633,48,auto,An,upper,bound is commonly,An upper bound is commonly,0.7398737,2022
NLI,W4224300633,49,auto,As,a,means to prevent,As a means to prevent,0.63502485,2022
NLI,W4224300633,50,auto,By,scrutinizing,Eq. ( 3,By scrutinizing Eq. ( 3,0.53317654,2022
NLI,W4224300633,51,auto,Then,",",the function takes,"Then , the function takes",0.63403875,2022
NLI,W4224300633,52,auto,The,f,gradient is either,The f gradient is either,0.6434003,2022
NLI,W4224300633,53,auto,Then,",",the global minimum,"Then , the global minimum",0.6241566,2022
NLI,W4224300633,55,auto,The,flowchart,to demonstrate the,The flowchart to demonstrate the,0.64958096,2022
NLI,W4224300633,56,auto,This,section,depends on the,This section depends on the,0.6636314,2022
NLI,W4224300633,57,auto,cation,-,"based "" OR","cation - based "" OR",0.5966313,2022
NLI,W4224300633,58,auto,Figure,2,3 • Papers,Figure 2 3 • Papers,0.71894974,2022
NLI,W4224300633,59,auto,•,Papers,on PSO topics,• Papers on PSO topics,0.69755507,2022
NLI,W4224300633,60,auto,•,Papers,prepared in a,• Papers prepared in a,0.6917721,2022
NLI,W4224300633,61,auto,•,Papers,that follow the,• Papers that follow the,0.6210652,2022
NLI,W4224300633,62,auto,The,ultimately,selected studies are,The ultimately selected studies are,0.702174,2022
NLI,W4224300633,63,auto,•,Papers,indexed in neither,• Papers indexed in neither,0.68198365,2022
NLI,W4224300633,64,auto,•,Papers,written in a,• Papers written in a,0.68094236,2022
NLI,W4224300633,65,auto,•,Papers,not subject to,• Papers not subject to,0.57553965,2022
NLI,W4224300633,66,auto,Methods,of,PSO,Methods of PSO,0.5827099,2022
NLI,W4224300633,67,auto,In,fact,", the literature","In fact , the literature",0.7864977,2022
NLI,W4224300633,68,auto,To,organize,"them , a","To organize them , a",0.5545517,2022
NLI,W4224300633,69,auto,4,Hybridization,Hybridization is a,4 Hybridization Hybridization is a,0.7226635,2022
NLI,W4224300633,70,auto,The,combination,of techniques does,The combination of techniques does,0.7243686,2022
NLI,W4224300633,71,auto,The,exploitation,and exploration of,The exploitation and exploration of,0.77692205,2022
NLI,W4224300633,72,auto,Many,nature,- inspired hybrid,Many nature - inspired hybrid,0.65524673,2022
NLI,W4224300633,73,auto,To,optimally,design a Labyrinth,To optimally design a Labyrinth,0.76653486,2022
NLI,W4224300633,74,auto,In,another,"work , Melton","In another work , Melton",0.68983227,2022
NLI,W4224300633,75,auto,In,[,12 ],In [ 12 ],0.687659,2022
NLI,W4224300633,76,auto,Typically,",",a strong classifier,"Typically , a strong classifier",0.5976648,2022
NLI,W4224300633,77,auto,In,[,6 ] In,In [ 6 ] In,0.6619512,2022
NLI,W4224300633,78,auto,However,",",the performance of,"However , the performance of",0.6551193,2022
NLI,W4224300633,79,auto,For,the,betterment of the,For the betterment of the,0.8145543,2022
NLI,W4224300633,80,auto,Also,",",it is ineffective,"Also , it is ineffective",0.6362524,2022
NLI,W4224300633,81,auto,To,overcome,"these shortcomings ,","To overcome these shortcomings ,",0.6984859,2022
NLI,W4224300633,82,auto,The,SCA,is mainly stigmatized,The SCA is mainly stigmatized,0.69336295,2022
NLI,W4224300633,83,auto,However,",",the SCA is,"However , the SCA is",0.6690367,2022
NLI,W4224300633,84,auto,Taking,advantage,of the PSO,Taking advantage of the PSO,0.7788682,2022
NLI,W4224300633,85,auto,In,another,"research , Sanchez","In another research , Sanchez",0.67789835,2022
NLI,W4224300633,86,auto,In,[,68 ] Ibrahim,In [ 68 ] Ibrahim,0.61206573,2022
NLI,W4224300633,87,auto,A,new,form of multi,A new form of multi,0.73850197,2022
NLI,W4224300633,88,auto,In,most,of the above,In most of the above,0.7362522,2022
NLI,W4224300633,89,auto,For,instance,", a good","For instance , a good",0.7257618,2022
NLI,W4224300633,90,auto,In,some,"cases , an","In some cases , an",0.7504946,2022
NLI,W4224300633,91,auto,Furthermore,",","the PSO ,","Furthermore , the PSO ,",0.69263226,2022
NLI,W4224300633,92,auto,Additionally,",",the search speed,"Additionally , the search speed",0.58514255,2022
NLI,W4224300633,93,auto,Artificial,Neural,Networks ( ANNs,Artificial Neural Networks ( ANNs,0.743074,2022
NLI,W4224300633,94,auto,In,this,"regard , Moayedi","In this regard , Moayedi",0.7554722,2022
NLI,W4224300633,95,auto,In,another,"work , Junior","In another work , Junior",0.7411383,2022
