topic,paper_ID,sentence_ID,info-unit,sub,pred,obj,triplets,pred_weights,year
QA,W4281564584,0,auto,Maria,Lungu,mclungu13@gmail.com Florida Atlantic,Maria Lungu mclungu13@gmail.com Florida Atlantic,,2022
QA,W4281564584,1,auto,This,provides,readers with more,This provides readers with more,,2022
QA,W4281564584,2,auto,The,fourth,edition also introduces,The fourth edition also introduces,,2022
QA,W4281564584,3,auto,The,fourth,edition is aptly,The fourth edition is aptly,,2022
QA,W4281564584,4,auto,This,includes,screenshots of relevant,This includes screenshots of relevant,,2022
QA,W4281564584,5,auto,Furthermore,",",this book can,"Furthermore , this book can",,2022
QA,W4281564584,6,auto,In,The,Coding Manual for,In The Coding Manual for,,2022
QA,W4281564584,7,auto,The,diverse,range of coding,The diverse range of coding,,2022
QA,W4281564584,8,auto,Though,not,designated as a,Though not designated as a,,2022
QA,W4281564584,9,auto,The,evidence,of contradictory viewpoints,The evidence of contradictory viewpoints,,2022
QA,W4281564584,10,auto,The,practicality,provided versus the,The practicality provided versus the,,2022
QA,W4281564584,11,auto,Saldaña,is,adamant that the,Saldaña is adamant that the,,2022
QA,W4281564584,12,auto,That,hones,in on the,That hones in on the,,2022
QA,W4281564584,14,auto,In,part,"one , the","In part one , the",,2022
QA,W4281564584,15,auto,For,the,"novice coder ,","For the novice coder ,",,2022
QA,W4281564584,16,auto,Saldaña,describes,a code as,Saldaña describes a code as,,2022
QA,W4281564584,17,auto,Saldaña,recognizes,that qualitative inquiry,Saldaña recognizes that qualitative inquiry,,2022
QA,W4281564584,18,auto,.,The,complex nature of,. The complex nature of,,2022
QA,W4281564584,19,auto,This,edition,introduces a section,This edition introduces a section,,2022
QA,W4281564584,20,auto,Given,the,push for think,Given the push for think,,2022
QA,W4281564584,21,auto,Saldaña,references,"Gee , Michaels","Saldaña references Gee , Michaels",,2022
QA,W4281564584,22,auto,Chapter,3,reviews analytical memo,Chapter 3 reviews analytical memo,,2022
QA,W4281564584,23,auto,Data,generation,can consist of,Data generation can consist of,,2022
